,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Delegate to Judicial Convention


42nd Assembly District


Vote for 6"
"Assembly District 42"
"Public Counter","3,186"
"Emergency",0
"Absentee/Military",175
"Affidavit",9
"Total Ballots","3,370"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,370"
,
"Ed Powell","2,217"
"Ernest Skinner","2,005"
"Emmanuel VamBran","1,822"
"Lawrence B. Morris","2,043"
"Clarence Robertson","2,089"
"Robert Newman","1,910"
"Gloria E. Morancie","1,397"
"AARON BLINDER (Write-In)",1
"AARON HEWEMAN (Write-In)",1
"AARON LUTZ KING (Write-In)",1
"ABE ADLER (Write-In)",1
"ALEX ROSENBERG (Write-In)",1
"BACKER FELIX (Write-In)",1
"BERNARD ROSENBERG (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BRAD ANDERSON (Write-In)",1
"CHAROTTE LUBRING (Write-In)",1
"CLARENCE RUBERTSON (Write-In)",1
"EUGENE MATHIEN (Write-In)",1
"GEOFFREY DAVIS (Write-In)",1
"HANNA FRIEDMAN (Write-In)",1
"HILLARY CLINTON (Write-In)",3
"JACOB I.FRIEDMAN (Write-In)",1
"JASMINE ROGERS (Write-In)",1
"JOHN REBECCHI (Write-In)",1
"JONL BLUMEN FRUCK (Write-In)",1
"JOSEPH FRANKEZ (Write-In)",1
"JOSUE PIERCE (Write-In)",2
"KETLER LOUISSAINT (Write-In)",1
"LEO REITTNER (Write-In)",1
"LEO SILZMAN (Write-In)",1
"LIPA GELDWIRTH (Write-In)",1
"LORRAINE DELLAMOE (Write-In)",1
"MARIE LARACHE (Write-In)",1
"MAYA D WILEY (Write-In)",1
"MEGAN DEMARKIS (Write-In)",1
"MICHAEL WILLIAMS (Write-In)",1
"REV. AL SHARPTON (Write-In)",1
"REYBEN FULLER BENNETT (Write-In)",1
"ROBERT CAROLL (Write-In)",1
"RODNEYSE BICHOTTE (Write-In)",2
"RUTH RUDDICK (Write-In)",1
"SAMATHA BAILEY (Write-In)",1
"SPENCER ROBINSON (Write-In)",1
"STUART MORNCIE (Write-In)",1
"SYLVIA LERNER (Write-In)",1
"TAMMY BRADE (Write-In)",1
"THELMA DAVIS (Write-In)",1
"THOMAS WILLIAMS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",78
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",5
"WILLIAM O'ROARTY (Write-In)",1
"WILLIAM SANTAGATA (Write-In)",1
,
,
,
"Total Votes","13,614"
"Unrecorded","6,606"

"Total for Democratic Delegate to Judicial Convention (42nd Assembly District) - Kings County"
"Public Counter","3,186"
"Emergency",0
"Absentee/Military",175
"Affidavit",9
"Total Ballots","3,370"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,370"
,
"Ed Powell","2,217"
"Ernest Skinner","2,005"
"Emmanuel VamBran","1,822"
"Lawrence B. Morris","2,043"
"Clarence Robertson","2,089"
"Robert Newman","1,910"
"Gloria E. Morancie","1,397"
"AARON BLINDER (Write-In)",1
"AARON HEWEMAN (Write-In)",1
"AARON LUTZ KING (Write-In)",1
"ABE ADLER (Write-In)",1
"ALEX ROSENBERG (Write-In)",1
"BACKER FELIX (Write-In)",1
"BERNARD ROSENBERG (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"BRAD ANDERSON (Write-In)",1
"CHAROTTE LUBRING (Write-In)",1
"CLARENCE RUBERTSON (Write-In)",1
"EUGENE MATHIEN (Write-In)",1
"GEOFFREY DAVIS (Write-In)",1
"HANNA FRIEDMAN (Write-In)",1
"HILLARY CLINTON (Write-In)",3
"JACOB I.FRIEDMAN (Write-In)",1
"JASMINE ROGERS (Write-In)",1
"JOHN REBECCHI (Write-In)",1
"JONL BLUMEN FRUCK (Write-In)",1
"JOSEPH FRANKEZ (Write-In)",1
"JOSUE PIERCE (Write-In)",2
"KETLER LOUISSAINT (Write-In)",1
"LEO REITTNER (Write-In)",1
"LEO SILZMAN (Write-In)",1
"LIPA GELDWIRTH (Write-In)",1
"LORRAINE DELLAMOE (Write-In)",1
"MARIE LARACHE (Write-In)",1
"MAYA D WILEY (Write-In)",1
"MEGAN DEMARKIS (Write-In)",1
"MICHAEL WILLIAMS (Write-In)",1
"REV. AL SHARPTON (Write-In)",1
"REYBEN FULLER BENNETT (Write-In)",1
"ROBERT CAROLL (Write-In)",1
"RODNEYSE BICHOTTE (Write-In)",2
"RUTH RUDDICK (Write-In)",1
"SAMATHA BAILEY (Write-In)",1
"SPENCER ROBINSON (Write-In)",1
"STUART MORNCIE (Write-In)",1
"SYLVIA LERNER (Write-In)",1
"TAMMY BRADE (Write-In)",1
"THELMA DAVIS (Write-In)",1
"THOMAS WILLIAMS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",78
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",5
"WILLIAM O'ROARTY (Write-In)",1
"WILLIAM SANTAGATA (Write-In)",1
,
,
,
"Total Votes","13,614"
"Unrecorded","6,606"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
