"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Public Counter",41
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Emergency",0
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Absentee/Military",2
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Affidavit",0
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Stephen A. Harrison",22
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Scott G. Klein",16
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"William J. Morton",7
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Anisa Khatari",12
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Public Counter",36
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Emergency",0
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Absentee/Military",4
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Affidavit",1
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Stephen A. Harrison",27
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Scott G. Klein",18
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"William J. Morton",10
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Anisa Khatari",15
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Public Counter",49
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Emergency",0
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Absentee/Military",8
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Affidavit",0
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Stephen A. Harrison",33
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Scott G. Klein",31
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"William J. Morton",12
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Anisa Khatari",12
"64","078","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Public Counter",57
"64","078","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Emergency",0
"64","078","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Absentee/Military",3
"64","078","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Delegate to Judicial Convention","64",2,"Affidavit",0
