,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Delegate to Judicial Convention


64th Assembly District


Vote for 2"
"Assembly District 64"
"Public Counter",558
"Emergency",0
"Absentee/Military",42
"Affidavit",2
"Total Ballots",602
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",602
,
"Stephen A. Harrison",336
"Scott G. Klein",296
"William J. Morton",181
"Anisa Khatari",209
"BEN RIST (Write-In)",1
"JUSTIN BRENNAN (Write-In)",1
"KOLIN GREGORY (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes","1,026"
"Unrecorded",178

"Total for Democratic Delegate to Judicial Convention (64th Assembly District) - Kings County"
"Public Counter",558
"Emergency",0
"Absentee/Military",42
"Affidavit",2
"Total Ballots",602
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",602
,
"Stephen A. Harrison",336
"Scott G. Klein",296
"William J. Morton",181
"Anisa Khatari",209
"BEN RIST (Write-In)",1
"JUSTIN BRENNAN (Write-In)",1
"KOLIN GREGORY (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes","1,026"
"Unrecorded",178


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
