"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Public Counter",71
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Emergency",0
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Absentee/Military",0
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Affidavit",0
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Sharon L. Irby",12
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Jessica Rosa",21
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Felix Ceballos",12
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Melania D. Rodriguez",20
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Jose Feliciano",12
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Liz Aponte",8
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Eva M. Jones",8
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Evelyn Velez",14
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"James Ying",5
"53","001","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Scattered",5
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Public Counter",85
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Emergency",0
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Absentee/Military",1
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Affidavit",0
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Sharon L. Irby",12
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Jessica Rosa",23
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Felix Ceballos",15
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Melania D. Rodriguez",27
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Jose Feliciano",21
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Liz Aponte",16
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Eva M. Jones",8
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Evelyn Velez",26
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"James Ying",7
"53","002","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Scattered",1
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Public Counter",112
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Emergency",0
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Absentee/Military",0
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Affidavit",1
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Sharon L. Irby",9
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Jessica Rosa",13
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Felix Ceballos",10
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Melania D. Rodriguez",24
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Jose Feliciano",18
"53","003","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","53",5,"Liz Aponte",11
