,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Alternate Delegate to the Judicial Convention


53rd Assembly District


Vote for 5"
"Assembly District 53"
"Public Counter","4,449"
"Emergency",0
"Absentee/Military",71
"Affidavit",34
"Total Ballots","4,554"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,554"
,
"Sharon L. Irby",771
"Jessica Rosa","1,209"
"Felix Ceballos",871
"Melania D. Rodriguez","1,385"
"Jose Feliciano","1,062"
"Liz Aponte",995
"Eva M. Jones",739
"Evelyn Velez","1,360"
"James Ying",643
"DANIEL ANDREW MURPHY (Write-In)",1
"JERRY HERNANDEZ (Write-In)",2
"JOE DOMINOS (Write-In)",1
"LINDA T MINUCCI (Write-In)",1
"MARTIN MALAVE DILAN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",35
"VERMIN SUPREME (Write-In)",1
,
,
,
"Total Votes","9,077"
"Unrecorded","13,693"

"Total for Democratic Alternate Delegate to the Judicial Convention (53rd Assembly District) - Kings County"
"Public Counter","4,449"
"Emergency",0
"Absentee/Military",71
"Affidavit",34
"Total Ballots","4,554"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,554"
,
"Sharon L. Irby",771
"Jessica Rosa","1,209"
"Felix Ceballos",871
"Melania D. Rodriguez","1,385"
"Jose Feliciano","1,062"
"Liz Aponte",995
"Eva M. Jones",739
"Evelyn Velez","1,360"
"James Ying",643
"DANIEL ANDREW MURPHY (Write-In)",1
"JERRY HERNANDEZ (Write-In)",2
"JOE DOMINOS (Write-In)",1
"LINDA T MINUCCI (Write-In)",1
"MARTIN MALAVE DILAN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",35
"VERMIN SUPREME (Write-In)",1
,
,
,
"Total Votes","9,077"
"Unrecorded","13,693"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
