"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Public Counter",41
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Emergency",0
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Absentee/Military",2
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Affidavit",0
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Lisa F. Levy",16
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Joseph F. Seminara",25
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Patrick Gatti",13
"64","075","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Moulay Driss Aqil",5
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Public Counter",36
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Emergency",0
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Absentee/Military",4
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Affidavit",1
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Lisa F. Levy",24
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Joseph F. Seminara",27
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Patrick Gatti",12
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Moulay Driss Aqil",7
"64","076","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Scattered",1
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Public Counter",49
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Emergency",0
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Absentee/Military",8
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Affidavit",0
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Lisa F. Levy",29
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Joseph F. Seminara",36
"64","077","Kings","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Alternate Delegate to the Judicial Convention","64",2,"Patrick Gatti",15
