,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Alternate Delegate to the Judicial Convention


64th Assembly District


Vote for 2"
"Assembly District 64"
"Public Counter",558
"Emergency",0
"Absentee/Military",42
"Affidavit",2
"Total Ballots",602
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",602
,
"Lisa F. Levy",342
"Joseph F. Seminara",360
"Patrick Gatti",185
"Moulay Driss Aqil",132
"BEN RIST (Write-In)",1
"KOLIN GREGORY (Write-In)",1
"RUDOLPH KORMANN (Write-In)",1
"STEPHEN HARRISON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes","1,024"
"Unrecorded",180

"Total for Democratic Alternate Delegate to the Judicial Convention (64th Assembly District) - Kings County"
"Public Counter",558
"Emergency",0
"Absentee/Military",42
"Affidavit",2
"Total Ballots",602
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",602
,
"Lisa F. Levy",342
"Joseph F. Seminara",360
"Patrick Gatti",185
"Moulay Driss Aqil",132
"BEN RIST (Write-In)",1
"KOLIN GREGORY (Write-In)",1
"RUDOLPH KORMANN (Write-In)",1
"STEPHEN HARRISON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes","1,024"
"Unrecorded",180


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
