"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Public Counter",140
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Emergency",0
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Absentee/Military",2
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Federal",1
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Affidavit",1
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Nadya Stevens (F) - Pledged to support Sanders",49
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"George Albro (M) - Pledged to support Sanders",47
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Eliza Miller (F) - Pledged to support Sanders",50
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"David Galarza (M) - Pledged to support Sanders",52
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Gladise Jeudy-Joseph (F) - Pledged to support Sanders",46
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Eddie Kay (M) - Pledged to support Sanders",50
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Rodneyse Bichotte (F) - Pledged to support Clinton",66
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"N. Nick Perry (M) - Pledged to support Clinton",69
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Karen Persichilli Keogh (F) - Pledged to support Clinton",69
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"James Conigliaro (M) - Pledged to support Clinton",65
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Lori Citron-Knipel (F) - Pledged to support Clinton",65
"41","001","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Cory Provost (M) - Pledged to support Clinton",62
"41","002","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Public Counter",154
"41","002","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Emergency",0
"41","002","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Absentee/Military",5
"41","002","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Federal",0
"41","002","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Affidavit",2
"41","002","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Nadya Stevens (F) - Pledged to support Sanders",51
"41","002","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"George Albro (M) - Pledged to support Sanders",49
"41","002","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Eliza Miller (F) - Pledged to support Sanders",53
"41","002","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"David Galarza (M) - Pledged to support Sanders",52
"41","002","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Gladise Jeudy-Joseph (F) - Pledged to support Sanders",47
"41","002","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Eddie Kay (M) - Pledged to support Sanders",53
"41","002","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"Rodneyse Bichotte (F) - Pledged to support Clinton",83
"41","002","Kings","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","09",6,"N. Nick Perry (M) - Pledged to support Clinton",84
