,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Kings County
 - 
Democratic Party




Democratic Delegate to National Convention


10th Congressional District


Vote for 6"
"10th Congressional District"
"Assembly District 42"
"Public Counter",14
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",1
"Total Ballots",15
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",15.00
,
"Jenine Lurie (F) - Pledged to support Sanders",5
"Allen N. Roskoff (M) - Pledged to support Sanders",5
"Jessica D. Frisco (F) - Pledged to support Sanders",6
"Arthur Z. Schwartz (M) - Pledged to support Sanders",4
"Laine Armstrong (F) - Pledged to support Sanders",5
"Tom Duane (M) - Pledged to support Sanders",4
"Scott M. Stringer (M) - Pledged to support Clinton",8
"Betsy Gotbaum (F) - Pledged to support Clinton",8
"George Miranda (M) - Pledged to support Clinton",9
"Deborah Glick (F) - Pledged to support Clinton",8
"Richard Socarides (M) - Pledged to support Clinton",8
"Nancy Tong (F) - Pledged to support Clinton",9
,
,
,
"Total Votes",79
"Unrecorded",11

"Assembly District 44"
"Public Counter","4,716"
"Emergency",0
"Absentee/Military",104
"Federal",17
"Affidavit",110
"Total Ballots","4,947"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,947.00"
,
"Jenine Lurie (F) - Pledged to support Sanders","2,154"
"Allen N. Roskoff (M) - Pledged to support Sanders","2,016"
"Jessica D. Frisco (F) - Pledged to support Sanders","2,139"
"Arthur Z. Schwartz (M) - Pledged to support Sanders","2,023"
"Laine Armstrong (F) - Pledged to support Sanders","2,048"
"Tom Duane (M) - Pledged to support Sanders","2,047"
"Scott M. Stringer (M) - Pledged to support Clinton","2,109"
"Betsy Gotbaum (F) - Pledged to support Clinton","2,046"
"George Miranda (M) - Pledged to support Clinton","1,962"
"Deborah Glick (F) - Pledged to support Clinton","2,001"
"Richard Socarides (M) - Pledged to support Clinton","1,865"
"Nancy Tong (F) - Pledged to support Clinton","1,981"
,
,
,
"Total Votes","24,391"
"Unrecorded","5,291"

"Assembly District 45"
"Public Counter",115
"Emergency",0
"Absentee/Military",1
"Federal",1
"Affidavit",6
"Total Ballots",123
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",123.00
,
"Jenine Lurie (F) - Pledged to support Sanders",35
"Allen N. Roskoff (M) - Pledged to support Sanders",39
"Jessica D. Frisco (F) - Pledged to support Sanders",31
"Arthur Z. Schwartz (M) - Pledged to support Sanders",43
"Laine Armstrong (F) - Pledged to support Sanders",33
"Tom Duane (M) - Pledged to support Sanders",34
"Scott M. Stringer (M) - Pledged to support Clinton",59
"Betsy Gotbaum (F) - Pledged to support Clinton",57
"George Miranda (M) - Pledged to support Clinton",47
"Deborah Glick (F) - Pledged to support Clinton",56
"Richard Socarides (M) - Pledged to support Clinton",48
"Nancy Tong (F) - Pledged to support Clinton",49
,
,
,
"Total Votes",531
"Unrecorded",207

