,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Male County Committee


041/53


Vote for 2"
"Assembly District 53"
"Public Counter",96
"Emergency",0
"Absentee/Military",0
"Affidavit",0
"Total Ballots",96
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",96
,
"Pedro Jimenez",21
"Salvador Varela",15
"Robert Redman",12
"Edgar Ortiz",19
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes",68
"Unrecorded",124

"Total for Democratic Male County Committee (041/53) - Kings County"
"Public Counter",96
"Emergency",0
"Absentee/Military",0
"Affidavit",0
"Total Ballots",96
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",96
,
"Pedro Jimenez",21
"Salvador Varela",15
"Robert Redman",12
"Edgar Ortiz",19
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes",68
"Unrecorded",124


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
