,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Democratic Party




Democratic Female County Committee


010/43


Vote for 1"
"Assembly District 43"
"Public Counter",18
"Emergency",0
"Absentee/Military",1
"Affidavit",0
"Total Ballots",19
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",19
,
"Rhond Tomlinson",12
"Shyria Donawa-Tannor",5
,
,
,
"Total Votes",17
"Unrecorded",2

"Total for Democratic Female County Committee (010/43) - Kings County"
"Public Counter",18
"Emergency",0
"Absentee/Military",1
"Affidavit",0
"Total Ballots",19
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",19
,
"Rhond Tomlinson",12
"Shyria Donawa-Tannor",5
,
,
,
"Total Votes",17
"Unrecorded",2


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
