,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Queens County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1"
"3rd Congressional District"
"Assembly District 24"
"Public Counter","1,850"
"Emergency",0
"Absentee/Military",56
"Federal",11
"Affidavit",21
"Total Ballots","1,938"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,938.00"
,
"Bernie Sanders",790
"Hillary Clinton","1,113"
,
,
,
"Total Votes","1,903"
"Unrecorded",35

"Assembly District 25"
"Public Counter",253
"Emergency",0
"Absentee/Military",6
"Federal",3
"Affidavit",3
"Total Ballots",265
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",265.00
,
"Bernie Sanders",106
"Hillary Clinton",157
,
,
,
"Total Votes",263
"Unrecorded",2

"Assembly District 26"
"Public Counter","7,702"
"Emergency",1
"Absentee/Military",357
"Federal",38
"Affidavit",106
"Total Ballots","8,204"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,204.00"
,
"Bernie Sanders","3,078"
"Hillary Clinton","4,990"
,
,
,
"Total Votes","8,068"
"Unrecorded",136

"Assembly District 27"
"Public Counter",223
"Emergency",0
"Absentee/Military",8
"Federal",1
"Affidavit",5
"Total Ballots",237
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",237.00
,
"Bernie Sanders",104
"Hillary Clinton",130
,
,
,
"Total Votes",234
"Unrecorded",3

"Assembly District 33"
"Public Counter","1,935"
"Emergency",0
"Absentee/Military",36
"Federal",9
"Affidavit",26
"Total Ballots","2,006"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,006.00"
,
"Bernie Sanders",930
"Hillary Clinton","1,038"
,
,
,
"Total Votes","1,968"
"Unrecorded",38

"Assembly District 40"
"Public Counter",195
"Emergency",0
"Absentee/Military",6
"Federal",2
"Affidavit",1
"Total Ballots",204
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",204.00
,
"Bernie Sanders",105
"Hillary Clinton",96
,
,
,
"Total Votes",201
"Unrecorded",3

"Total for 3rd Congressional District-Queens County"
"Public Counter","12,158"
"Emergency",1
"Absentee/Military",469
"Federal",64
"Affidavit",162
"Total Ballots","12,854"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","12,854.00"
,
"Bernie Sanders","5,113"
"Hillary Clinton","7,524"
,
,
,
"Total Votes","12,637"
"Unrecorded",217

"5th Congressional District"
"Assembly District 23"
"Public Counter","6,466"
"Emergency",0
"Absentee/Military",441
"Federal",27
"Affidavit",167
"Total Ballots","7,101"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","7,101.00"
,
"Bernie Sanders","2,818"
"Hillary Clinton","4,171"
,
,
,
"Total Votes","6,989"
"Unrecorded",112

"Assembly District 24"
"Public Counter","4,573"
"Emergency",0
"Absentee/Military",90
"Federal",22
"Affidavit",82
"Total Ballots","4,767"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,767.00"
,
"Bernie Sanders","1,504"
"Hillary Clinton","3,202"
,
,
,
"Total Votes","4,706"
"Unrecorded",61

"Assembly District 27"
"Public Counter",196
"Emergency",0
"Absentee/Military",0
"Federal",2
"Affidavit",8
"Total Ballots",206
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",206.00
,
"Bernie Sanders",80
"Hillary Clinton",120
,
,
,
"Total Votes",200
"Unrecorded",6

"Assembly District 28"
"Public Counter",413
"Emergency",0
"Absentee/Military",5
"Federal",1
"Affidavit",10
"Total Ballots",429
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",429.00
,
"Bernie Sanders",161
"Hillary Clinton",262
,
,
,
"Total Votes",423
"Unrecorded",6

"Assembly District 29"
"Public Counter","17,203"
"Emergency",0
"Absentee/Military",356
"Federal",27
"Affidavit",318
"Total Ballots","17,904"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","17,904.00"
,
"Bernie Sanders","4,525"
"Hillary Clinton","13,186"
,
,
,
"Total Votes","17,711"
"Unrecorded",193

"Assembly District 31"
"Public Counter","11,726"
"Emergency",6
"Absentee/Military",237
"Federal",14
"Affidavit",284
"Total Ballots","12,267"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","12,267.00"
,
"Bernie Sanders","3,362"
"Hillary Clinton","8,814"
,
,
,
"Total Votes","12,176"
"Unrecorded",91

"Assembly District 32"
"Public Counter","15,778"
"Emergency",0
"Absentee/Military",298
"Federal",12
"Affidavit",317
"Total Ballots","16,405"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","16,405.00"
,
"Bernie Sanders","4,150"
"Hillary Clinton","12,092"
,
,
,
"Total Votes","16,242"
"Unrecorded",163

"Assembly District 33"
"Public Counter","15,214"
"Emergency",1
"Absentee/Military",251
"Federal",19
"Affidavit",248
"Total Ballots","15,733"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","15,733.00"
,
"Bernie Sanders","4,106"
"Hillary Clinton","11,496"
,
,
,
"Total Votes","15,602"
"Unrecorded",131

"Assembly District 38"
"Public Counter","1,263"
"Emergency",0
"Absentee/Military",11
"Federal",4
"Affidavit",49
"Total Ballots","1,327"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,327.00"
,
"Bernie Sanders",496
"Hillary Clinton",815
,
,
,
"Total Votes","1,311"
"Unrecorded",16

"Total for 5th Congressional District-Queens County"
"Public Counter","72,832"
"Emergency",7
"Absentee/Military","1,689"
"Federal",128
"Affidavit","1,483"
"Total Ballots","76,139"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","76,139.00"
,
"Bernie Sanders","21,202"
"Hillary Clinton","54,158"
,
,
,
"Total Votes","75,360"
"Unrecorded",779

"6th Congressional District"
"Assembly District 24"
"Public Counter","4,614"
"Emergency",0
"Absentee/Military",183
"Federal",40
"Affidavit",92
"Total Ballots","4,929"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,929.00"
,
"Bernie Sanders","1,970"
"Hillary Clinton","2,923"
,
,
,
"Total Votes","4,893"
"Unrecorded",36

"Assembly District 25"
"Public Counter","8,402"
"Emergency",0
"Absentee/Military",233
"Federal",43
"Affidavit",138
"Total Ballots","8,816"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,816.00"
,
"Bernie Sanders","3,575"
"Hillary Clinton","5,140"
,
,
,
"Total Votes","8,715"
"Unrecorded",101

"Assembly District 26"
"Public Counter","3,973"
"Emergency",0
"Absentee/Military",137
"Federal",22
"Affidavit",53
"Total Ballots","4,185"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,185.00"
,
"Bernie Sanders","1,966"
"Hillary Clinton","2,183"
,
,
,
"Total Votes","4,149"
"Unrecorded",36

"Assembly District 27"
"Public Counter","8,401"
"Emergency",0
"Absentee/Military",340
"Federal",126
"Affidavit",195
"Total Ballots","9,062"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,062.00"
,
"Bernie Sanders","3,573"
"Hillary Clinton","5,381"
,
,
,
"Total Votes","8,954"
"Unrecorded",108

"Assembly District 28"
"Public Counter","11,706"
"Emergency",0
"Absentee/Military",471
"Federal",97
"Affidavit",241
"Total Ballots","12,515"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","12,515.00"
,
"Bernie Sanders","5,232"
"Hillary Clinton","7,134"
,
,
,
"Total Votes","12,366"
"Unrecorded",149

"Assembly District 30"
"Public Counter","3,393"
"Emergency",0
"Absentee/Military",141
"Federal",19
"Affidavit",60
"Total Ballots","3,613"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,613.00"
,
"Bernie Sanders","1,860"
"Hillary Clinton","1,696"
,
,
,
"Total Votes","3,556"
"Unrecorded",57

"Assembly District 32"
"Public Counter",62
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",3
"Total Ballots",65
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",65.00
,
"Bernie Sanders",27
"Hillary Clinton",38
,
,
,
"Total Votes",65
,

"Assembly District 34"
"Public Counter",240
"Emergency",0
"Absentee/Military",3
"Federal",1
"Affidavit",8
"Total Ballots",252
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",252.00
,
"Bernie Sanders",105
"Hillary Clinton",144
,
,
,
"Total Votes",249
"Unrecorded",3

"Assembly District 35"
"Public Counter","2,478"
"Emergency",0
"Absentee/Military",47
"Federal",15
"Affidavit",64
"Total Ballots","2,604"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,604.00"
,
"Bernie Sanders","1,137"
"Hillary Clinton","1,447"
,
,
,
"Total Votes","2,584"
"Unrecorded",20

"Assembly District 37"
"Public Counter","1,209"
"Emergency",0
"Absentee/Military",32
"Federal",6
"Affidavit",52
"Total Ballots","1,299"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,299.00"
,
"Bernie Sanders",713
"Hillary Clinton",572
,
,
,
"Total Votes","1,285"
"Unrecorded",14

"Assembly District 38"
"Public Counter","1,278"
"Emergency",0
"Absentee/Military",23
"Federal",5
"Affidavit",24
"Total Ballots","1,330"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,330.00"
,
"Bernie Sanders",673
"Hillary Clinton",642
,
,
,
"Total Votes","1,315"
"Unrecorded",15

"Assembly District 39"
"Public Counter","1,499"
"Emergency",0
"Absentee/Military",29
"Federal",5
"Affidavit",42
"Total Ballots","1,575"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,575.00"
,
"Bernie Sanders",635
"Hillary Clinton",923
,
,
,
"Total Votes","1,558"
"Unrecorded",17

"Assembly District 40"
"Public Counter","6,406"
"Emergency",0
"Absentee/Military",210
"Federal",41
"Affidavit",110
"Total Ballots","6,767"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,767.00"
,
"Bernie Sanders","2,560"
"Hillary Clinton","4,140"
,
,
,
"Total Votes","6,700"
"Unrecorded",67

"Total for 6th Congressional District-Queens County"
"Public Counter","53,661"
"Emergency",0
"Absentee/Military","1,849"
"Federal",420
"Affidavit","1,082"
"Total Ballots","57,012"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","57,012.00"
,
"Bernie Sanders","24,026"
"Hillary Clinton","32,363"
,
,
,
"Total Votes","56,389"
"Unrecorded",623

"7th Congressional District"
"Assembly District 23"
"Public Counter",256
"Emergency",0
"Absentee/Military",3
"Federal",2
"Affidavit",5
"Total Ballots",266
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",266.00
,
"Bernie Sanders",113
"Hillary Clinton",152
,
,
,
"Total Votes",265
"Unrecorded",1

"Assembly District 28"
"Public Counter",143
"Emergency",0
"Absentee/Military",1
"Federal",0
"Affidavit",1
"Total Ballots",145
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",145.00
,
"Bernie Sanders",58
"Hillary Clinton",87
,
,
,
"Total Votes",145
,

"Assembly District 37"
"Public Counter","1,731"
"Emergency",0
"Absentee/Military",21
"Federal",3
"Affidavit",54
"Total Ballots","1,809"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,809.00"
,
"Bernie Sanders","1,066"
"Hillary Clinton",733
,
,
,
"Total Votes","1,799"
"Unrecorded",10

"Assembly District 38"
"Public Counter","5,941"
"Emergency",0
"Absentee/Military",68
"Federal",20
"Affidavit",160
"Total Ballots","6,189"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,189.00"
,
"Bernie Sanders","2,788"
"Hillary Clinton","3,338"
,
,
,
"Total Votes","6,126"
"Unrecorded",63

"Total for 7th Congressional District-Queens County"
"Public Counter","8,071"
"Emergency",0
"Absentee/Military",93
"Federal",25
"Affidavit",220
"Total Ballots","8,409"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,409.00"
,
"Bernie Sanders","4,025"
"Hillary Clinton","4,310"
,
,
,
"Total Votes","8,335"
"Unrecorded",74

"8th Congressional District"
"Assembly District 23"
"Public Counter","3,303"
"Emergency",0
"Absentee/Military",57
"Federal",12
"Affidavit",85
"Total Ballots","3,457"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,457.00"
,
"Bernie Sanders","1,539"
"Hillary Clinton","1,865"
,
,
,
"Total Votes","3,404"
"Unrecorded",53

"Assembly District 38"
"Public Counter",15
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",15
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",15.00
,
"Bernie Sanders",2
"Hillary Clinton",13
,
,
,
"Total Votes",15
,

"Total for 8th Congressional District-Queens County"
"Public Counter","3,318"
"Emergency",0
"Absentee/Military",57
"Federal",12
"Affidavit",85
"Total Ballots","3,472"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,472.00"
,
"Bernie Sanders","1,541"
"Hillary Clinton","1,878"
,
,
,
"Total Votes","3,419"
"Unrecorded",53

"12th Congressional District"
"Assembly District 30"
"Public Counter","1,644"
"Emergency",0
"Absentee/Military",25
"Federal",16
"Affidavit",43
"Total Ballots","1,728"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,728.00"
,
"Bernie Sanders",897
"Hillary Clinton",824
,
,
,
"Total Votes","1,721"
"Unrecorded",7

"Assembly District 36"
"Public Counter","7,707"
"Emergency",0
"Absentee/Military",202
"Federal",72
"Affidavit",265
"Total Ballots","8,246"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,246.00"
,
"Bernie Sanders","4,389"
"Hillary Clinton","3,808"
,
,
,
"Total Votes","8,197"
"Unrecorded",49

"Assembly District 37"
"Public Counter","5,680"
"Emergency",59
"Absentee/Military",119
"Federal",23
"Affidavit",225
"Total Ballots","6,106"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,106.00"
,
"Bernie Sanders","2,392"
"Hillary Clinton","3,655"
,
,
,
"Total Votes","6,047"
"Unrecorded",59

"Total for 12th Congressional District-Queens County"
"Public Counter","15,031"
"Emergency",59
"Absentee/Military",346
"Federal",111
"Affidavit",533
"Total Ballots","16,080"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","16,080.00"
,
"Bernie Sanders","7,678"
"Hillary Clinton","8,287"
,
,
,
"Total Votes","15,965"
"Unrecorded",115

"14th Congressional District"
"Assembly District 26"
"Public Counter",32
"Emergency",0
"Absentee/Military",4
"Federal",0
"Affidavit",0
"Total Ballots",36
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",36.00
,
"Bernie Sanders",23
"Hillary Clinton",13
,
,
,
"Total Votes",36
,

"Assembly District 27"
"Public Counter","1,416"
"Emergency",0
"Absentee/Military",44
"Federal",7
"Affidavit",31
"Total Ballots","1,498"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,498.00"
,
"Bernie Sanders",694
"Hillary Clinton",793
,
,
,
"Total Votes","1,487"
"Unrecorded",11

"Assembly District 30"
"Public Counter","5,333"
"Emergency",0
"Absentee/Military",147
"Federal",47
"Affidavit",126
"Total Ballots","5,653"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","5,653.00"
,
"Bernie Sanders","2,642"
"Hillary Clinton","2,961"
,
,
,
"Total Votes","5,603"
"Unrecorded",50

"Assembly District 34"
"Public Counter","9,777"
"Emergency",0
"Absentee/Military",175
"Federal",55
"Affidavit",217
"Total Ballots","10,224"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","10,224.00"
,
"Bernie Sanders","4,278"
"Hillary Clinton","5,836"
,
,
,
"Total Votes","10,114"
"Unrecorded",110

"Assembly District 35"
"Public Counter","6,456"
"Emergency",0
"Absentee/Military",227
"Federal",10
"Affidavit",142
"Total Ballots","6,835"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,835.00"
,
"Bernie Sanders","2,055"
"Hillary Clinton","4,729"
,
,
,
"Total Votes","6,784"
"Unrecorded",51

"Assembly District 36"
"Public Counter","6,878"
"Emergency",0
"Absentee/Military",189
"Federal",78
"Affidavit",222
"Total Ballots","7,367"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","7,367.00"
,
"Bernie Sanders","4,054"
"Hillary Clinton","3,261"
,
,
,
"Total Votes","7,315"
"Unrecorded",52

"Assembly District 37"
"Public Counter","4,518"
"Emergency",0
"Absentee/Military",82
"Federal",25
"Affidavit",161
"Total Ballots","4,786"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,786.00"
,
"Bernie Sanders","2,328"
"Hillary Clinton","2,424"
,
,
,
"Total Votes","4,752"
"Unrecorded",34

"Assembly District 39"
"Public Counter","5,906"
"Emergency",0
"Absentee/Military",55
"Federal",30
"Affidavit",152
"Total Ballots","6,143"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,143.00"
,
"Bernie Sanders","2,381"
"Hillary Clinton","3,697"
,
,
,
"Total Votes","6,078"
"Unrecorded",65

"Assembly District 40"
"Public Counter",0
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",0
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",0.00
,
"Bernie Sanders",0
"Hillary Clinton",0
,
,
,
"Total Votes",0
,

"Total for 14th Congressional District-Queens County"
"Public Counter","40,316"
"Emergency",0
"Absentee/Military",923
"Federal",252
"Affidavit","1,051"
"Total Ballots","42,542"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","42,542.00"
,
"Bernie Sanders","18,455"
"Hillary Clinton","23,714"
,
,
,
"Total Votes","42,169"
"Unrecorded",373

"Total for Democratic President (Citywide) - Queens County"

"Public Counter","205,387"
"Emergency",67
"Absentee/Military","5,426"
"Federal","1,012"
"Affidavit","4,616"
"Total Ballots","216,508"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","216,508.00"
,
"Bernie Sanders","82,040"
"Hillary Clinton","132,234"
,
,
,
"Total Votes","214,274"
"Unrecorded","2,234"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
