,
"Statement and Return Report

for Certification



Federal Primary - 06/28/2016


Queens County
 - 
Democratic Party




Democratic Representative in Congress


3rd Congressional District


Vote for 1"
"Assembly District 24"
"Public Counter",432
"Emergency",0
"Absentee/Military",46
"Federal",7
"Affidavit",0
"Total Ballots",485
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",485
,
"Jon Kaiman",109
"Steve Stern",39
"Jonathan C. Clarke",28
"Thomas R. Suozzi",165
"Anna Kaplan",141
,
,
,
"Total Votes",482
"Unrecorded",3

"Assembly District 25"
"Public Counter",63
"Emergency",0
"Absentee/Military",4
"Federal",1
"Affidavit",1
"Total Ballots",69
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",69
,
"Jon Kaiman",10
"Steve Stern",17
"Jonathan C. Clarke",4
"Thomas R. Suozzi",27
"Anna Kaplan",10
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes",69
,

"Assembly District 26"
"Public Counter","2,528"
"Emergency",0
"Absentee/Military",225
"Federal",18
"Affidavit",2
"Total Ballots","2,773"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,773"
,
"Jon Kaiman",599
"Steve Stern",280
"Jonathan C. Clarke",108
"Thomas R. Suozzi","1,221"
"Anna Kaplan",546
"ALI MIRZA (Write-In)",1
"HILLARY CLINTON (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","2,760"
"Unrecorded",13

"Assembly District 27"
"Public Counter",45
"Emergency",0
"Absentee/Military",6
"Federal",1
"Affidavit",0
"Total Ballots",52
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",52
,
"Jon Kaiman",6
"Steve Stern",3
"Jonathan C. Clarke",4
"Thomas R. Suozzi",25
"Anna Kaplan",12
"MICHAEL BLOOMBERG (Write-In)",2
,
,
,
"Total Votes",52
,

"Assembly District 33"
"Public Counter",465
"Emergency",0
"Absentee/Military",18
"Federal",7
"Affidavit",2
"Total Ballots",492
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",492
,
"Jon Kaiman",124
"Steve Stern",27
"Jonathan C. Clarke",38
"Thomas R. Suozzi",162
"Anna Kaplan",137
"ALI MIRZA (Write-In)",1
"DONALD TRUMP (Write-In)",2
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes",492
,

"Assembly District 40"
"Public Counter",30
"Emergency",0
"Absentee/Military",5
"Federal",1
"Affidavit",0
"Total Ballots",36
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",36
,
"Jon Kaiman",6
"Steve Stern",6
"Jonathan C. Clarke",2
"Thomas R. Suozzi",18
"Anna Kaplan",4
,
,
,
"Total Votes",36
,

"Total for Democratic Representative in Congress (3rd Congressional District) - Queens County"
"Public Counter","3,563"
"Emergency",0
"Absentee/Military",304
"Federal",35
"Affidavit",5
"Total Ballots","3,907"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,907"
,
"Jon Kaiman",854
"Steve Stern",372
"Jonathan C. Clarke",184
"Thomas R. Suozzi","1,618"
"Anna Kaplan",850
"ALI MIRZA (Write-In)",2
"DONALD TRUMP (Write-In)",2
"HILLARY CLINTON (Write-In)",1
"MICHAEL BLOOMBERG (Write-In)",2
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","3,891"
"Unrecorded",16


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
