,
"Statement and Return Report

for Certification



Federal Primary - 06/28/2016


Queens County
 - 
Democratic Party




Democratic Representative in Congress


7th Congressional District


Vote for 1"
"Assembly District 23"
"Public Counter",20
"Emergency",0
"Absentee/Military",1
"Federal",2
"Affidavit",0
"Total Ballots",23
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",23
,
"Yungman F. Lee",8
"Jeffrey M. Kurzon",6
"Nydia M. Velazquez",9
,
,
,
"Total Votes",23
,

"Assembly District 28"
"Public Counter",16
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",16
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",16
,
"Yungman F. Lee",4
"Jeffrey M. Kurzon",3
"Nydia M. Velazquez",9
,
,
,
"Total Votes",16
,

"Assembly District 37"
"Public Counter",156
"Emergency",0
"Absentee/Military",8
"Federal",2
"Affidavit",1
"Total Ballots",167
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",167
,
"Yungman F. Lee",25
"Jeffrey M. Kurzon",27
"Nydia M. Velazquez",115
,
,
,
"Total Votes",167
,

"Assembly District 38"
"Public Counter",703
"Emergency",0
"Absentee/Military",31
"Federal",9
"Affidavit",2
"Total Ballots",745
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",745
,
"Yungman F. Lee",158
"Jeffrey M. Kurzon",97
"Nydia M. Velazquez",482
"ALI MIRZA (Write-In)",1
"HEIDE WILCOX (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes",743
"Unrecorded",2

"Total for Democratic Representative in Congress (7th Congressional District) - Queens County"
"Public Counter",895
"Emergency",0
"Absentee/Military",40
"Federal",13
"Affidavit",3
"Total Ballots",951
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",951
,
"Yungman F. Lee",195
"Jeffrey M. Kurzon",133
"Nydia M. Velazquez",615
"ALI MIRZA (Write-In)",1
"HEIDE WILCOX (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes",949
"Unrecorded",2


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
