,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Queens County
 - 
Democratic Party




Democratic State Senator


10th Senatorial District


Vote for 1"
"Assembly District 23"
"Public Counter",614
"Emergency",0
"Absentee/Military",196
"Affidavit",4
"Total Ballots",814
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",814
,
"James Sanders Jr.",481
"Adrienne E. Adams",325
"GREGORY MEEKS (Write-In)",1
"JEROME SAMUEL VITALE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
,
,
,
"Total Votes",810
"Unrecorded",4

"Assembly District 24"
"Public Counter",241
"Emergency",0
"Absentee/Military",15
"Affidavit",3
"Total Ballots",259
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",259
,
"James Sanders Jr.",138
"Adrienne E. Adams",117
,
,
,
"Total Votes",255
"Unrecorded",4

"Assembly District 27"
"Public Counter",0
"Emergency",0
"Absentee/Military",0
"Affidavit",0
"Total Ballots",0
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",0
,
"James Sanders Jr.",0
"Adrienne E. Adams",0
,
,
,
"Total Votes",0
,

"Assembly District 28"
"Public Counter",55
"Emergency",0
"Absentee/Military",2
"Affidavit",0
"Total Ballots",57
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",57
,
"James Sanders Jr.",34
"Adrienne E. Adams",23
,
,
,
"Total Votes",57
,

"Assembly District 29"
"Public Counter",680
"Emergency",0
"Absentee/Military",23
"Affidavit",1
"Total Ballots",704
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",704
,
"James Sanders Jr.",448
"Adrienne E. Adams",238
"ALAN KEYS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes",689
"Unrecorded",15

"Assembly District 31"
"Public Counter","2,889"
"Emergency",0
"Absentee/Military",205
"Affidavit",21
"Total Ballots","3,115"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,115"
,
"James Sanders Jr.","1,936"
"Adrienne E. Adams","1,129"
"ALLAN W. JENNINGS JR (Write-In)",1
"DONAL RENOSO (Write-In)",1
"GREGG BERUNER (Write-In)",1
"SELVENA BROOKS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",5
,
,
,
"Total Votes","3,074"
"Unrecorded",41

"Assembly District 32"
"Public Counter","4,239"
"Emergency",0
"Absentee/Military",247
"Affidavit",27
"Total Ballots","4,513"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,513"
,
"James Sanders Jr.","2,336"
"Adrienne E. Adams","2,064"
"JOE CIANCI (Write-In)",1
"RICHARD BUTLER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",5
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VIVIAN E. COOK (Write-In)",1
,
,
,
"Total Votes","4,409"
"Unrecorded",104

"Assembly District 38"
"Public Counter",206
"Emergency",0
"Absentee/Military",13
"Affidavit",2
"Total Ballots",221
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",221
,
"James Sanders Jr.",122
"Adrienne E. Adams",92
"ROBERT TURNER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes",217
"Unrecorded",4

"Total for Democratic State Senator (10th Senatorial District) - Queens County"
"Public Counter","8,924"
"Emergency",0
"Absentee/Military",701
"Affidavit",58
"Total Ballots","9,683"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,683"
,
"James Sanders Jr.","5,495"
"Adrienne E. Adams","3,988"
"ALAN KEYS (Write-In)",1
"ALLAN W. JENNINGS JR (Write-In)",1
"DONAL RENOSO (Write-In)",1
"GREGG BERUNER (Write-In)",1
"GREGORY MEEKS (Write-In)",1
"JEROME SAMUEL VITALE (Write-In)",1
"JOE CIANCI (Write-In)",1
"RICHARD BUTLER (Write-In)",1
"ROBERT TURNER (Write-In)",1
"SELVENA BROOKS (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",14
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
"VIVIAN E. COOK (Write-In)",1
,
,
,
"Total Votes","9,511"
"Unrecorded",172


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
