,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Queens County
 - 
Democratic Party




Democratic Member of the Assembly


29th Assembly District


Vote for 1"
"Assembly District 29"
"Public Counter","4,014"
"Emergency",0
"Absentee/Military",266
"Affidavit",17
"Total Ballots","4,297"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,297"
,
"Lorraine Bridges",888
"Linda Guillebeaux",270
"Alicia L. Hyndman","3,057"
"ADRIENNE ADAMS (Write-In)",1
"ALAN KEYS (Write-In)",1
"ANTHONY RIVERS (Write-In)",3
"BOB HARLEY (Write-In)",1
"CLARA ADAMS (Write-In)",1
"CLYDE VANEL (Write-In)",2
"EVERLY BROWN (Write-In)",1
"GREGORY MAYS JR (Write-In)",1
"HERMAN MAZARD (Write-In)",1
"JAMES SAUNDERS (Write-In)",1
"NANTASHA WILLIAMS (Write-In)",7
"ROY PAUL (Write-In)",1
"RUTH CAMPBELL (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",13
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","4,253"
"Unrecorded",44

"Total for Democratic Member of the Assembly (29th Assembly District) - Queens County"
"Public Counter","4,014"
"Emergency",0
"Absentee/Military",266
"Affidavit",17
"Total Ballots","4,297"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,297"
,
"Lorraine Bridges",888
"Linda Guillebeaux",270
"Alicia L. Hyndman","3,057"
"ADRIENNE ADAMS (Write-In)",1
"ALAN KEYS (Write-In)",1
"ANTHONY RIVERS (Write-In)",3
"BOB HARLEY (Write-In)",1
"CLARA ADAMS (Write-In)",1
"CLYDE VANEL (Write-In)",2
"EVERLY BROWN (Write-In)",1
"GREGORY MAYS JR (Write-In)",1
"HERMAN MAZARD (Write-In)",1
"JAMES SAUNDERS (Write-In)",1
"NANTASHA WILLIAMS (Write-In)",7
"ROY PAUL (Write-In)",1
"RUTH CAMPBELL (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",13
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","4,253"
"Unrecorded",44


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
