,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Queens County
 - 
Democratic Party




Democratic Member of the Assembly


32nd Assembly District


Vote for 1"
"Assembly District 32"
"Public Counter","5,035"
"Emergency",0
"Absentee/Military",295
"Affidavit",32
"Total Ballots","5,362"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","5,362"
,
"Vivian E. Cook","4,021"
"Rodney Reid","1,141"
"ADRIAN ADAMS (Write-In)",1
"ADRIENNE E ADAMS (Write-In)",2
"ADRINNA THOMAS (Write-In)",1
"AVA AIMABLE (Write-In)",1
"FREDRICKA WILSON (Write-In)",1
"JAMES SANDERS (Write-In)",1
"JOE CIANCI (Write-In)",1
"KEISHA MILLER (Write-In)",1
"NANTASHA WILLIAMS (Write-In)",1
"RICHARD BUTLER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","5,179"
"Unrecorded",183

"Total for Democratic Member of the Assembly (32nd Assembly District) - Queens County"
"Public Counter","5,035"
"Emergency",0
"Absentee/Military",295
"Affidavit",32
"Total Ballots","5,362"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","5,362"
,
"Vivian E. Cook","4,021"
"Rodney Reid","1,141"
"ADRIAN ADAMS (Write-In)",1
"ADRIENNE E ADAMS (Write-In)",2
"ADRINNA THOMAS (Write-In)",1
"AVA AIMABLE (Write-In)",1
"FREDRICKA WILSON (Write-In)",1
"JAMES SANDERS (Write-In)",1
"JOE CIANCI (Write-In)",1
"KEISHA MILLER (Write-In)",1
"NANTASHA WILLIAMS (Write-In)",1
"RICHARD BUTLER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",2
,
,
,
"Total Votes","5,179"
"Unrecorded",183


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
