,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Queens County
 - 
Democratic Party




Democratic Member of the Assembly


33rd Assembly District


Vote for 1"
"Assembly District 33"
"Public Counter","5,515"
"Emergency",0
"Absentee/Military",234
"Affidavit",21
"Total Ballots","5,770"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","5,770"
,
"Nantasha Williams","1,590"
"Bryan J. Block","1,402"
"Clyde Vanel","1,822"
"Roy Paul",599
"Sabine French",204
"ALICIA HYNDMAN (Write-In)",1
"CHARLTON D'SOUZA (Write-In)",1
"CLARAETTA DRAYTON (Write-In)",1
"CLIVE DAWKINS (Write-In)",1
"CURTIS SLIWA (Write-In)",1
"DEMITRA ETIENNE (Write-In)",1
"DR. MUTULA SHAKUR (Write-In)",1
"DUKE MARKS (Write-In)",1
"LEROY GADSDEN (Write-In)",1
"LEROY GADSEN (Write-In)",3
"LOIS MENYWEATHER (Write-In)",2
"LORRAINE BRIDGES (Write-In)",1
"MARTIN DILAN (Write-In)",1
"MARYLYN JACKSON (Write-In)",1
"MIKE TEDONE (Write-In)",1
"ROSLIN SPIGNER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","5,639"
"Unrecorded",131

"Total for Democratic Member of the Assembly (33rd Assembly District) - Queens County"
"Public Counter","5,515"
"Emergency",0
"Absentee/Military",234
"Affidavit",21
"Total Ballots","5,770"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","5,770"
,
"Nantasha Williams","1,590"
"Bryan J. Block","1,402"
"Clyde Vanel","1,822"
"Roy Paul",599
"Sabine French",204
"ALICIA HYNDMAN (Write-In)",1
"CHARLTON D'SOUZA (Write-In)",1
"CLARAETTA DRAYTON (Write-In)",1
"CLIVE DAWKINS (Write-In)",1
"CURTIS SLIWA (Write-In)",1
"DEMITRA ETIENNE (Write-In)",1
"DR. MUTULA SHAKUR (Write-In)",1
"DUKE MARKS (Write-In)",1
"LEROY GADSDEN (Write-In)",1
"LEROY GADSEN (Write-In)",3
"LOIS MENYWEATHER (Write-In)",2
"LORRAINE BRIDGES (Write-In)",1
"MARTIN DILAN (Write-In)",1
"MARYLYN JACKSON (Write-In)",1
"MIKE TEDONE (Write-In)",1
"ROSLIN SPIGNER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",2
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","5,639"
"Unrecorded",131


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
