"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"32","020","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Public Counter",20
"32","020","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Emergency",0
"32","020","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Absentee/Military",0
"32","020","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Affidavit",0
"32","020","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Clifton Stanley Diaz",5
"32","020","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Anthony D. Andrews Jr.",13
"32","031","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Public Counter",63
"32","031","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Emergency",0
"32","031","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Absentee/Military",4
"32","031","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Affidavit",0
"32","031","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Clifton Stanley Diaz",26
"32","031","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Anthony D. Andrews Jr.",22
"32","032","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Public Counter",51
"32","032","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Emergency",0
"32","032","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Absentee/Military",0
"32","032","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Affidavit",0
"32","032","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Clifton Stanley Diaz",11
"32","032","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Anthony D. Andrews Jr.",32
"32","032","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Scattered",1
"32","033","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Public Counter",99
"32","033","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Emergency",0
"32","033","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Absentee/Military",3
"32","033","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Affidavit",2
"32","033","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Clifton Stanley Diaz",19
"32","033","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Anthony D. Andrews Jr.",60
"32","034","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Public Counter",75
"32","034","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Emergency",0
"32","034","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Absentee/Military",2
"32","034","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Affidavit",1
"32","034","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Clifton Stanley Diaz",9
"32","034","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Anthony D. Andrews Jr.",60
"32","034","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","32B",1,"Scattered",1
