,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Queens County
 - 
Democratic Party




Democratic Male District Leader


Democratic Leadership District 32 Part B


Vote for 1"
"Assembly District 32"
"Public Counter","3,447"
"Emergency",0
"Absentee/Military",175
"Affidavit",16
"Total Ballots","3,638"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,638"
,
"Clifton Stanley Diaz","1,209"
"Anthony D. Andrews Jr.","1,951"
"ALICIA HYNDMAN (Write-In)",1
"DARIN SAUNDERS (Write-In)",1
"JOE CIANCI (Write-In)",1
"KEISHA MILLER (Write-In)",1
"MARISOL ALCANTARA (Write-In)",1
"NINA DOSTER (Write-In)",1
"RICHARD BUTLER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VIVIAN E. COOK (Write-In)",1
,
,
,
"Total Votes","3,172"
"Unrecorded",466

"Total for Democratic Male District Leader (Democratic Leadership District 32 Part B) - Queens County"
"Public Counter","3,447"
"Emergency",0
"Absentee/Military",175
"Affidavit",16
"Total Ballots","3,638"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,638"
,
"Clifton Stanley Diaz","1,209"
"Anthony D. Andrews Jr.","1,951"
"ALICIA HYNDMAN (Write-In)",1
"DARIN SAUNDERS (Write-In)",1
"JOE CIANCI (Write-In)",1
"KEISHA MILLER (Write-In)",1
"MARISOL ALCANTARA (Write-In)",1
"NINA DOSTER (Write-In)",1
"RICHARD BUTLER (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VIVIAN E. COOK (Write-In)",1
,
,
,
"Total Votes","3,172"
"Unrecorded",466


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
