"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"33","016","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Public Counter",5
"33","016","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Emergency",0
"33","016","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Absentee/Military",1
"33","016","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Affidavit",0
"33","016","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"I. Daneek Miller",3
"33","016","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Oster Bryan",1
"33","017","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Public Counter",29
"33","017","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Emergency",0
"33","017","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Absentee/Military",4
"33","017","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Affidavit",0
"33","017","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"I. Daneek Miller",17
"33","017","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Oster Bryan",7
"33","018","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Public Counter",36
"33","018","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Emergency",0
"33","018","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Absentee/Military",1
"33","018","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Affidavit",0
"33","018","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"I. Daneek Miller",16
"33","018","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Oster Bryan",10
"33","021","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Public Counter",45
"33","021","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Emergency",0
"33","021","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Absentee/Military",0
"33","021","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Affidavit",0
"33","021","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"I. Daneek Miller",23
"33","021","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Oster Bryan",5
"33","021","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Scattered",1
"33","022","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Public Counter",28
"33","022","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Emergency",0
"33","022","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Absentee/Military",3
"33","022","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Affidavit",0
"33","022","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"I. Daneek Miller",16
"33","022","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Oster Bryan",2
"33","022","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Scattered",1
"33","023","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Public Counter",39
"33","023","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Emergency",0
"33","023","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Absentee/Military",0
"33","023","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Affidavit",0
"33","023","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"I. Daneek Miller",20
"33","023","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Oster Bryan",6
"33","023","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Scattered",3
"33","042","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Public Counter",105
"33","042","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Emergency",0
"33","042","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Male District Leader","33A",1,"Absentee/Military",0
