,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Queens County
 - 
Democratic Party




Democratic Male District Leader


Democratic Leadership District 33 Part A


Vote for 1"
"Assembly District 33"
"Public Counter","3,554"
"Emergency",0
"Absentee/Military",133
"Affidavit",14
"Total Ballots","3,701"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,701"
,
"I. Daneek Miller","2,663"
"Oster Bryan",497
"ANTHONY RIVERS (Write-In)",1
"BERNIE SAUNDERS (Write-In)",1
"CHARLTON D'SOUZA (Write-In)",1
"CLYDE VANEL (Write-In)",1
"DENNIE WILSON (Write-In)",1
"EASTON MARKS (Write-In)",1
"JIM JOHNSON (Write-In)",1
"KAREN C QUEENS BOROUGH EVANS (Write-In)",1
"LAURIE BLIGEN (Write-In)",1
"LORAIN POWELL (Write-In)",1
"MARC CLOUTIER (Write-In)",1
"ROY PAUL (Write-In)",4
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
,
,
,
"Total Votes","3,179"
"Unrecorded",522

"Total for Democratic Male District Leader (Democratic Leadership District 33 Part A) - Queens County"
"Public Counter","3,554"
"Emergency",0
"Absentee/Military",133
"Affidavit",14
"Total Ballots","3,701"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,701"
,
"I. Daneek Miller","2,663"
"Oster Bryan",497
"ANTHONY RIVERS (Write-In)",1
"BERNIE SAUNDERS (Write-In)",1
"CHARLTON D'SOUZA (Write-In)",1
"CLYDE VANEL (Write-In)",1
"DENNIE WILSON (Write-In)",1
"EASTON MARKS (Write-In)",1
"JIM JOHNSON (Write-In)",1
"KAREN C QUEENS BOROUGH EVANS (Write-In)",1
"LAURIE BLIGEN (Write-In)",1
"LORAIN POWELL (Write-In)",1
"MARC CLOUTIER (Write-In)",1
"ROY PAUL (Write-In)",4
"UNATTRIBUTABLE WRITE-IN (Write-In)",4
,
,
,
"Total Votes","3,179"
"Unrecorded",522


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
