"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"33","016","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Public Counter",5
"33","016","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Emergency",0
"33","016","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Absentee/Military",1
"33","016","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Affidavit",0
"33","016","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Lois Menyweather",1
"33","016","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Dymitra Etienne",0
"33","016","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Roslin Spigner",4
"33","017","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Public Counter",29
"33","017","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Emergency",0
"33","017","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Absentee/Military",4
"33","017","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Affidavit",0
"33","017","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Lois Menyweather",7
"33","017","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Dymitra Etienne",6
"33","017","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Roslin Spigner",14
"33","018","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Public Counter",36
"33","018","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Emergency",0
"33","018","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Absentee/Military",1
"33","018","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Affidavit",0
"33","018","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Lois Menyweather",10
"33","018","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Female District Leader","33A",1,"Dymitra Etienne",2
