,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Queens County
 - 
Democratic Party




Democratic Delegate to National Convention


3rd Congressional District


Vote for 7"
"3rd Congressional District"
"Assembly District 24"
"Public Counter","1,850"
"Emergency",0
"Absentee/Military",56
"Federal",11
"Affidavit",21
"Total Ballots","1,938"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,938.00"
,
"David DiPadova  (M) - Pledged to support Sanders",638
"Stacey Eno  (F) - Pledged to support Sanders",652
"Steven A. Abreu  (M) - Pledged to support Sanders",643
"Judi Gardner  (F) - Pledged to support Sanders",673
"Ron Widelec  (M) - Pledged to support Sanders",596
"Hillary F. Gruber  (F) - Pledged to support Sanders",650
"Michael Como  (M) - Pledged to support Sanders",681
"Thomas Suozzi  (M) - Pledged to support Clinton",899
"Judi Bosworth  (F) - Pledged to support Clinton",892
"Anthony Simon  (M) - Pledged to support Clinton",870
"Gemma Lopresti  (F) - Pledged to support Clinton",856
"David Gugerty  (M) - Pledged to support Clinton",821
"Anna Kaplan  (F) - Pledged to support Clinton",903
"Matthew Silverstein (M) - Pledged to support Clinton",866
,
,
,
"Total Votes","10,640"
"Unrecorded","2,926"

"Assembly District 25"
"Public Counter",253
"Emergency",0
"Absentee/Military",6
"Federal",3
"Affidavit",3
"Total Ballots",265
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",265.00
,
"David DiPadova  (M) - Pledged to support Sanders",95
"Stacey Eno  (F) - Pledged to support Sanders",95
"Steven A. Abreu  (M) - Pledged to support Sanders",92
"Judi Gardner  (F) - Pledged to support Sanders",97
"Ron Widelec  (M) - Pledged to support Sanders",86
"Hillary F. Gruber  (F) - Pledged to support Sanders",97
"Michael Como  (M) - Pledged to support Sanders",96
"Thomas Suozzi  (M) - Pledged to support Clinton",129
"Judi Bosworth  (F) - Pledged to support Clinton",132
"Anthony Simon  (M) - Pledged to support Clinton",128
"Gemma Lopresti  (F) - Pledged to support Clinton",129
"David Gugerty  (M) - Pledged to support Clinton",121
"Anna Kaplan  (F) - Pledged to support Clinton",137
"Matthew Silverstein (M) - Pledged to support Clinton",131
,
,
,
"Total Votes","1,565"
"Unrecorded",290

"Assembly District 26"
"Public Counter","7,702"
"Emergency",1
"Absentee/Military",357
"Federal",38
"Affidavit",106
"Total Ballots","8,204"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,204.00"
,
"David DiPadova  (M) - Pledged to support Sanders","2,719"
"Stacey Eno  (F) - Pledged to support Sanders","2,676"
"Steven A. Abreu  (M) - Pledged to support Sanders","2,653"
"Judi Gardner  (F) - Pledged to support Sanders","2,770"
"Ron Widelec  (M) - Pledged to support Sanders","2,545"
"Hillary F. Gruber  (F) - Pledged to support Sanders","2,695"
"Michael Como  (M) - Pledged to support Sanders","2,751"
"Thomas Suozzi  (M) - Pledged to support Clinton","4,549"
"Judi Bosworth  (F) - Pledged to support Clinton","4,440"
"Anthony Simon  (M) - Pledged to support Clinton","4,333"
"Gemma Lopresti  (F) - Pledged to support Clinton","4,353"
"David Gugerty  (M) - Pledged to support Clinton","4,202"
"Anna Kaplan  (F) - Pledged to support Clinton","4,452"
"Matthew Silverstein (M) - Pledged to support Clinton","4,348"
,
,
,
"Total Votes","49,486"
"Unrecorded","7,942"

"Assembly District 27"
"Public Counter",223
"Emergency",0
"Absentee/Military",8
"Federal",1
"Affidavit",5
"Total Ballots",237
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",237.00
,
"David DiPadova  (M) - Pledged to support Sanders",93
"Stacey Eno  (F) - Pledged to support Sanders",83
"Steven A. Abreu  (M) - Pledged to support Sanders",80
"Judi Gardner  (F) - Pledged to support Sanders",84
"Ron Widelec  (M) - Pledged to support Sanders",77
"Hillary F. Gruber  (F) - Pledged to support Sanders",85
"Michael Como  (M) - Pledged to support Sanders",88
"Thomas Suozzi  (M) - Pledged to support Clinton",109
"Judi Bosworth  (F) - Pledged to support Clinton",107
"Anthony Simon  (M) - Pledged to support Clinton",95
"Gemma Lopresti  (F) - Pledged to support Clinton",109
"David Gugerty  (M) - Pledged to support Clinton",94
"Anna Kaplan  (F) - Pledged to support Clinton",111
"Matthew Silverstein (M) - Pledged to support Clinton",96
,
,
,
"Total Votes","1,311"
"Unrecorded",348

"Assembly District 33"
"Public Counter","1,935"
"Emergency",0
"Absentee/Military",36
"Federal",9
"Affidavit",26
"Total Ballots","2,006"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,006.00"
,
"David DiPadova  (M) - Pledged to support Sanders",788
"Stacey Eno  (F) - Pledged to support Sanders",782
"Steven A. Abreu  (M) - Pledged to support Sanders",763
"Judi Gardner  (F) - Pledged to support Sanders",817
"Ron Widelec  (M) - Pledged to support Sanders",729
"Hillary F. Gruber  (F) - Pledged to support Sanders",785
"Michael Como  (M) - Pledged to support Sanders",828
"Thomas Suozzi  (M) - Pledged to support Clinton",897
"Judi Bosworth  (F) - Pledged to support Clinton",890
"Anthony Simon  (M) - Pledged to support Clinton",858
"Gemma Lopresti  (F) - Pledged to support Clinton",874
"David Gugerty  (M) - Pledged to support Clinton",815
"Anna Kaplan  (F) - Pledged to support Clinton",906
"Matthew Silverstein (M) - Pledged to support Clinton",835
,
