"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"Public Counter",3
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"Emergency",0
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"Absentee/Military",0
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"Federal",0
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"Affidavit",0
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"Mindy Rosier (F) - Pledged to support Sanders",1
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"Benjamin L. Yee (M) - Pledged to support Sanders",2
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"Maria Castro (F) - Pledged to support Sanders",1
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"Charles N. Lenchner (M) - Pledged to support Sanders",2
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"Violeta R. Cortez (F) - Pledged to support Sanders",1
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"Lewis Grupper (M) - Pledged to support Sanders",2
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"Rosie Mendez (F) - Pledged to support Clinton",1
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"David James Parish (M) - Pledged to support Clinton",2
"30","019","Queens","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","12",6,"Silda Wall (F) - Pledged to support Clinton",1
