,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Queens County
 - 
Democratic Party




Democratic Delegate to National Convention


14th Congressional District


Vote for 7"
"14th Congressional District"
"Assembly District 26"
"Public Counter",32
"Emergency",0
"Absentee/Military",4
"Federal",0
"Affidavit",0
"Total Ballots",36
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",36.00
,
"Josephine Heck (F) - Pledged to support Sanders",18
"William F. Henning (M) - Pledged to support Sanders",18
"Staceyann Deleon (F) - Pledged to support Sanders",17
"Helene Busby (F) - Pledged to support Sanders",16
"Ron Suarez (M) - Pledged to support Sanders",18
"Julissa Ferreras (F) - Pledged to support Clinton",12
"Michael Gianaris (M) - Pledged to support Clinton",14
"Annabel Palma (F) - Pledged to support Clinton",12
"James Vacca (M) - Pledged to support Clinton",15
"Anne Marie Anzalone (F) - Pledged to support Clinton",16
"Francisco P. Moya (M) - Pledged to support Clinton",13
"Aleatha Williams (F) - Pledged to support Clinton",13
,
,
,
"Total Votes",182
"Unrecorded",70

"Assembly District 27"
"Public Counter","1,416"
"Emergency",0
"Absentee/Military",44
"Federal",7
"Affidavit",31
"Total Ballots","1,498"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,498.00"
,
"Josephine Heck (F) - Pledged to support Sanders",555
"William F. Henning (M) - Pledged to support Sanders",533
"Staceyann Deleon (F) - Pledged to support Sanders",545
"Helene Busby (F) - Pledged to support Sanders",535
"Ron Suarez (M) - Pledged to support Sanders",569
"Julissa Ferreras (F) - Pledged to support Clinton",717
"Michael Gianaris (M) - Pledged to support Clinton",651
"Annabel Palma (F) - Pledged to support Clinton",651
"James Vacca (M) - Pledged to support Clinton",609
"Anne Marie Anzalone (F) - Pledged to support Clinton",604
"Francisco P. Moya (M) - Pledged to support Clinton",621
"Aleatha Williams (F) - Pledged to support Clinton",595
,
,
,
"Total Votes","7,185"
"Unrecorded","3,301"

"Assembly District 30"
"Public Counter","5,333"
"Emergency",0
"Absentee/Military",147
"Federal",47
"Affidavit",126
"Total Ballots","5,653"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","5,653.00"
,
"Josephine Heck (F) - Pledged to support Sanders","2,223"
"William F. Henning (M) - Pledged to support Sanders","2,119"
"Staceyann Deleon (F) - Pledged to support Sanders","2,232"
"Helene Busby (F) - Pledged to support Sanders","2,147"
"Ron Suarez (M) - Pledged to support Sanders","2,155"
"Julissa Ferreras (F) - Pledged to support Clinton","2,657"
"Michael Gianaris (M) - Pledged to support Clinton","2,503"
"Annabel Palma (F) - Pledged to support Clinton","2,458"
"James Vacca (M) - Pledged to support Clinton","2,255"
"Anne Marie Anzalone (F) - Pledged to support Clinton","2,309"
"Francisco P. Moya (M) - Pledged to support Clinton","2,288"
"Aleatha Williams (F) - Pledged to support Clinton","2,269"
,
,
,
"Total Votes","27,615"
"Unrecorded","11,956"

"Assembly District 34"
"Public Counter","9,777"
"Emergency",0
"Absentee/Military",175
"Federal",55
"Affidavit",217
"Total Ballots","10,224"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","10,224.00"
,
"Josephine Heck (F) - Pledged to support Sanders","3,694"
"William F. Henning (M) - Pledged to support Sanders","3,528"
"Staceyann Deleon (F) - Pledged to support Sanders","3,746"
"Helene Busby (F) - Pledged to support Sanders","3,543"
"Ron Suarez (M) - Pledged to support Sanders","3,800"
"Julissa Ferreras (F) - Pledged to support Clinton","5,644"
"Michael Gianaris (M) - Pledged to support Clinton","4,571"
"Annabel Palma (F) - Pledged to support Clinton","4,730"
"James Vacca (M) - Pledged to support Clinton","4,332"
"Anne Marie Anzalone (F) - Pledged to support Clinton","4,295"
"Francisco P. Moya (M) - Pledged to support Clinton","4,828"
"Aleatha Williams (F) - Pledged to support Clinton","4,230"
,
,
,
"Total Votes","50,941"
"Unrecorded","20,627"

"Assembly District 35"
"Public Counter","6,456"
"Emergency",0
"Absentee/Military",227
"Federal",10
"Affidavit",142
"Total Ballots","6,835"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,835.00"
,
"Josephine Heck (F) - Pledged to support Sanders","1,762"
"William F. Henning (M) - Pledged to support Sanders","1,655"
"Staceyann Deleon (F) - Pledged to support Sanders","1,768"
"Helene Busby (F) - Pledged to support Sanders","1,639"
"Ron Suarez (M) - Pledged to support Sanders","1,792"
"Julissa Ferreras (F) - Pledged to support Clinton","4,665"
"Michael Gianaris (M) - Pledged to support Clinton","3,323"
"Annabel Palma (F) - Pledged to support Clinton","3,548"
"James Vacca (M) - Pledged to support Clinton","3,275"
"Anne Marie Anzalone (F) - Pledged to support Clinton","3,210"
"Francisco P. Moya (M) - Pledged to support Clinton","3,647"
"Aleatha Williams (F) - Pledged to support Clinton","3,357"
,
,
,
"Total Votes","33,641"
"Unrecorded","14,204"

"Assembly District 36"
"Public Counter","6,878"
"Emergency",0
"Absentee/Military",189
"Federal",78
"Affidavit",222
"Total Ballots","7,367"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","7,367.00"
,
"Josephine Heck (F) - Pledged to support Sanders","3,524"
"William F. Henning (M) - Pledged to support Sanders","3,229"
"Staceyann Deleon (F) - Pledged to support Sanders","3,524"
"Helene Busby (F) - Pledged to support Sanders","3,396"
"Ron Suarez (M) - Pledged to support Sanders","3,262"
"Julissa Ferreras (F) - Pledged to support Clinton","3,093"
"Michael Gianaris (M) - Pledged to support Clinton","3,289"
"Annabel Palma (F) - Pledged to support Clinton","2,949"
"James Vacca (M) - Pledged to support Clinton","2,494"
"Anne Marie Anzalone (F) - Pledged to support Clinton","2,834"
"Francisco P. Moya (M) - Pledged to support Clinton","2,506"
"Aleatha Williams (F) - Pledged to support Clinton","2,672"
,
,
,
"Total Votes","36,772"
"Unrecorded","14,797"

"Assembly District 37"
"Public Counter","4,518"
"Emergency",0
"Absentee/Military",82
"Federal",25
"Affidavit",161
"Total Ballots","4,786"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,786.00"
,
"Josephine Heck (F) - Pledged to support Sanders","2,028"
"William F. Henning (M) - Pledged to support Sanders","1,927"
"Staceyann Deleon (F) - Pledged to support Sanders","2,023"
"Helene Busby (F) - Pledged to support Sanders","2,024"
"Ron Suarez (M) - Pledged to support Sanders","1,973"
"Julissa Ferreras (F) - Pledged to support Clinton","2,392"
"Michael Gianaris (M) - Pledged to support Clinton","2,200"
"Annabel Palma (F) - Pledged to support Clinton","2,203"
"James Vacca (M) - Pledged to support Clinton","1,982"
"Anne Marie Anzalone (F) - Pledged to support Clinton","2,084"
"Francisco P. Moya (M) - Pledged to support Clinton","2,057"
"Aleatha Williams (F) - Pledged to support Clinton","2,050"
,
,
,
"Total Votes","24,943"
"Unrecorded","8,559"

"Assembly District 39"
"Public Counter","5,906"
"Emergency",0
"Absentee/Military",55
"Federal",30
"Affidavit",152
"Total Ballots","6,143"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,143.00"
,
"Josephine Heck (F) - Pledged to support Sanders","1,993"
"William F. Henning (M) - Pledged to support Sanders","1,860"
"Staceyann Deleon (F) - Pledged to support Sanders","2,019"
"Helene Busby (F) - Pledged to support Sanders","1,874"
"Ron Suarez (M) - Pledged to support Sanders","2,102"
"Julissa Ferreras (F) - Pledged to support Clinton","3,560"
"Michael Gianaris (M) - Pledged to support Clinton","2,521"
"Annabel Palma (F) - Pledged to support Clinton","2,768"
"James Vacca (M) - Pledged to support Clinton","2,520"
"Anne Marie Anzalone (F) - Pledged to support Clinton","2,343"
"Francisco P. Moya (M) - Pledged to support Clinton","3,254"
"Aleatha Williams (F) - Pledged to support Clinton","2,313"
,
,
,
"Total Votes","29,127"
"Unrecorded","13,874"

"Assembly District 40"
"Public Counter",0
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",0
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",0.00
,
"Josephine Heck (F) - Pledged to support Sanders",0
"William F. Henning (M) - Pledged to support Sanders",0
"Staceyann Deleon (F) - Pledged to support Sanders",0
"Helene Busby (F) - Pledged to support Sanders",0
"Ron Suarez (M) - Pledged to support Sanders",0
"Julissa Ferreras (F) - Pledged to support Clinton",0
"Michael Gianaris (M) - Pledged to support Clinton",0
"Annabel Palma (F) - Pledged to support Clinton",0
"James Vacca (M) - Pledged to support Clinton",0
"Anne Marie Anzalone (F) - Pledged to support Clinton",0
"Francisco P. Moya (M) - Pledged to support Clinton",0
"Aleatha Williams (F) - Pledged to support Clinton",0
,
,
,
"Total Votes",0
,

"Total for Democratic Delegate to National Convention (14th Congressional District) - Queens County"

"Public Counter","40,316"
"Emergency",0
"Absentee/Military",923
"Federal",252
"Affidavit","1,051"
"Total Ballots","42,542"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","42,542.00"
,
"Josephine Heck (F) - Pledged to support Sanders","15,797"
"William F. Henning (M) - Pledged to support Sanders","14,869"
"Staceyann Deleon (F) - Pledged to support Sanders","15,874"
"Helene Busby (F) - Pledged to support Sanders","15,174"
"Ron Suarez (M) - Pledged to support Sanders","15,671"
"Julissa Ferreras (F) - Pledged to support Clinton","22,740"
"Michael Gianaris (M) - Pledged to support Clinton","19,072"
"Annabel Palma (F) - Pledged to support Clinton","19,319"
"James Vacca (M) - Pledged to support Clinton","17,482"
"Anne Marie Anzalone (F) - Pledged to support Clinton","17,695"
"Francisco P. Moya (M) - Pledged to support Clinton","19,214"
