,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Richmond County
 - 
Democratic Party




Democratic President


Citywide


Vote for 1"
"11th Congressional District"
"Assembly District 61"
"Public Counter","11,959"
"Emergency",0
"Absentee/Military",573
"Federal",37
"Affidavit",197
"Total Ballots","12,766"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","12,766.00"
,
"Bernie Sanders","5,225"
"Hillary Clinton","7,420"
,
,
,
"Total Votes","12,645"
"Unrecorded",121

"Assembly District 62"
"Public Counter","6,002"
"Emergency",2
"Absentee/Military",248
"Federal",24
"Affidavit",43
"Total Ballots","6,319"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,319.00"
,
"Bernie Sanders","3,322"
"Hillary Clinton","2,830"
,
,
,
"Total Votes","6,152"
"Unrecorded",167

"Assembly District 63"
"Public Counter","8,698"
"Emergency",0
"Absentee/Military",419
"Federal",31
"Affidavit",103
"Total Ballots","9,251"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,251.00"
,
"Bernie Sanders","4,199"
"Hillary Clinton","4,918"
,
,
,
"Total Votes","9,117"
"Unrecorded",134

"Assembly District 64"
"Public Counter","4,918"
"Emergency",0
"Absentee/Military",251
"Federal",22
"Affidavit",86
"Total Ballots","5,277"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","5,277.00"
,
"Bernie Sanders","2,725"
"Hillary Clinton","2,444"
,
,
,
"Total Votes","5,169"
"Unrecorded",108

"Total for 11th Congressional District-Richmond County"
"Public Counter","31,577"
"Emergency",2
"Absentee/Military","1,491"
"Federal",114
"Affidavit",429
"Total Ballots","33,613"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","33,613.00"
,
"Bernie Sanders","15,471"
"Hillary Clinton","17,612"
,
,
,
"Total Votes","33,083"
"Unrecorded",530

"Total for Democratic President (Citywide) - Richmond County"

"Public Counter","31,577"
"Emergency",2
"Absentee/Military","1,491"
"Federal",114
"Affidavit",429
"Total Ballots","33,613"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","33,613.00"
,
"Bernie Sanders","15,471"
"Hillary Clinton","17,612"
,
,
,
"Total Votes","33,083"
"Unrecorded",530


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
