"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Public Counter",283
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Emergency",0
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Absentee/Military",19
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Federal",1
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Affidavit",4
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Thomas Shcherbenko (M) - Pledged to support Sanders",109
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Eden W. Schulz (F) - Pledged to support Sanders",118
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Gary Carsel (M) - Pledged to support Sanders",110
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Patricia Anne Taylor (F) - Pledged to support Sanders",137
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Daniel G. Chilton (M) - Pledged to support Sanders",114
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Michael Mulgrew (M) - Pledged to support Clinton",118
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Deborah Rose (F) - Pledged to support Clinton",159
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"John Gulino (M) - Pledged to support Clinton",113
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Tanisha Franks (F) - Pledged to support Clinton",123
"61","001","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Kevin Carroll (M) - Pledged to support Clinton",121
"61","002","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Public Counter",157
"61","002","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Emergency",0
"61","002","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Absentee/Military",10
"61","002","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Federal",0
"61","002","Richmond","IN-PLAY","Presidential Primary Election 2016 - 04/19/2016","Democratic","Delegate to National Convention","11",5,"Affidavit",0
