,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Richmond County
 - 
Democratic Party




Democratic Delegate to National Convention


11th Congressional District


Vote for 5"
"11th Congressional District"
"Assembly District 61"
"Public Counter","11,959"
"Emergency",0
"Absentee/Military",573
"Federal",37
"Affidavit",197
"Total Ballots","12,766"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","12,766.00"
,
"Thomas Shcherbenko (M) - Pledged to support Sanders","3,821"
"Eden W. Schulz (F) - Pledged to support Sanders","3,871"
"Gary Carsel (M) - Pledged to support Sanders","3,838"
"Patricia Anne Taylor (F) - Pledged to support Sanders","4,532"
"Daniel G. Chilton (M) - Pledged to support Sanders","3,702"
"Michael Mulgrew (M) - Pledged to support Clinton","5,466"
"Deborah Rose (F) - Pledged to support Clinton","7,116"
"John Gulino (M) - Pledged to support Clinton","5,254"
"Tanisha Franks (F) - Pledged to support Clinton","5,535"
"Kevin Carroll (M) - Pledged to support Clinton","5,278"
,
,
,
"Total Votes","48,413"
"Unrecorded","15,417"

"Assembly District 62"
"Public Counter","6,002"
"Emergency",2
"Absentee/Military",248
"Federal",24
"Affidavit",43
"Total Ballots","6,319"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,319.00"
,
"Thomas Shcherbenko (M) - Pledged to support Sanders","2,312"
"Eden W. Schulz (F) - Pledged to support Sanders","2,290"
"Gary Carsel (M) - Pledged to support Sanders","2,257"
"Patricia Anne Taylor (F) - Pledged to support Sanders","2,503"
"Daniel G. Chilton (M) - Pledged to support Sanders","2,178"
"Michael Mulgrew (M) - Pledged to support Clinton","2,379"
"Deborah Rose (F) - Pledged to support Clinton","2,417"
"John Gulino (M) - Pledged to support Clinton","2,267"
"Tanisha Franks (F) - Pledged to support Clinton","2,112"
"Kevin Carroll (M) - Pledged to support Clinton","2,135"
,
,
,
"Total Votes","22,850"
"Unrecorded","8,745"

"Assembly District 63"
"Public Counter","8,698"
"Emergency",0
"Absentee/Military",419
"Federal",31
"Affidavit",103
"Total Ballots","9,251"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","9,251.00"
,
"Thomas Shcherbenko (M) - Pledged to support Sanders","3,158"
"Eden W. Schulz (F) - Pledged to support Sanders","3,213"
"Gary Carsel (M) - Pledged to support Sanders","3,169"
"Patricia Anne Taylor (F) - Pledged to support Sanders","3,511"
"Daniel G. Chilton (M) - Pledged to support Sanders","3,015"
"Michael Mulgrew (M) - Pledged to support Clinton","4,033"
"Deborah Rose (F) - Pledged to support Clinton","4,560"
"John Gulino (M) - Pledged to support Clinton","3,884"
"Tanisha Franks (F) - Pledged to support Clinton","3,858"
"Kevin Carroll (M) - Pledged to support Clinton","3,753"
,
,
,
"Total Votes","36,154"
"Unrecorded","10,101"

"Assembly District 64"
"Public Counter","4,918"
"Emergency",0
"Absentee/Military",251
"Federal",22
"Affidavit",86
"Total Ballots","5,277"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","5,277.00"
,
"Thomas Shcherbenko (M) - Pledged to support Sanders","2,051"
"Eden W. Schulz (F) - Pledged to support Sanders","2,061"
"Gary Carsel (M) - Pledged to support Sanders","2,025"
"Patricia Anne Taylor (F) - Pledged to support Sanders","2,220"
"Daniel G. Chilton (M) - Pledged to support Sanders","1,946"
"Michael Mulgrew (M) - Pledged to support Clinton","1,990"
"Deborah Rose (F) - Pledged to support Clinton","2,173"
"John Gulino (M) - Pledged to support Clinton","1,964"
"Tanisha Franks (F) - Pledged to support Clinton","1,837"
"Kevin Carroll (M) - Pledged to support Clinton","1,843"
,
,
,
"Total Votes","20,110"
"Unrecorded","6,275"

"Total for Democratic Delegate to National Convention (11th Congressional District) - Richmond County"

"Public Counter","31,577"
"Emergency",2
"Absentee/Military","1,491"
"Federal",114
"Affidavit",429
"Total Ballots","33,613"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","33,613.00"
,
"Thomas Shcherbenko (M) - Pledged to support Sanders","11,342"
"Eden W. Schulz (F) - Pledged to support Sanders","11,435"
"Gary Carsel (M) - Pledged to support Sanders","11,289"
"Patricia Anne Taylor (F) - Pledged to support Sanders","12,766"
"Daniel G. Chilton (M) - Pledged to support Sanders","10,841"
"Michael Mulgrew (M) - Pledged to support Clinton","13,868"
"Deborah Rose (F) - Pledged to support Clinton","16,266"
"John Gulino (M) - Pledged to support Clinton","13,369"
"Tanisha Franks (F) - Pledged to support Clinton","13,342"
"Kevin Carroll (M) - Pledged to support Clinton","13,009"
,
,
,
"Total Votes","127,527"
"Unrecorded","40,538"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
