,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Crossover - 
Republican Party




Republican President


Citywide


Vote for 1"
"3rd Congressional District"
"Queens County"
"Public Counter","3,989"
"Emergency",0
"Absentee/Military",164
"Federal",11
"Affidavit",37
"Total Ballots","4,201"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,201"
,
"Donald J. Trump","3,017"
"John R. Kasich",707
"Ben Carson",17
"Ted Cruz",444
,
,
,
"Total Votes","4,185"
"Unrecorded",16

"Total for 3rd Congressional District"
"Public Counter","3,989"
"Emergency",0
"Absentee/Military",164
"Federal",11
"Affidavit",37
"Total Ballots","4,201"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,201"
,
"Donald J. Trump","3,017"
"John R. Kasich",707
"Ben Carson",17
"Ted Cruz",444
,
,
,
"Total Votes","4,185"
"Unrecorded",16

"5th Congressional District"
"Queens County"
"Public Counter","4,468"
"Emergency",0
"Absentee/Military",209
"Federal",13
"Affidavit",75
"Total Ballots","4,765"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,765"
,
"Donald J. Trump","3,042"
"John R. Kasich",790
"Ben Carson",80
"Ted Cruz",813
,
,
,
"Total Votes","4,725"
"Unrecorded",40

"Total for 5th Congressional District"
"Public Counter","4,468"
"Emergency",0
"Absentee/Military",209
"Federal",13
"Affidavit",75
"Total Ballots","4,765"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,765"
,
"Donald J. Trump","3,042"
"John R. Kasich",790
"Ben Carson",80
"Ted Cruz",813
,
,
,
"Total Votes","4,725"
"Unrecorded",40

"6th Congressional District"
"Queens County"
"Public Counter","12,557"
"Emergency",0
"Absentee/Military",508
"Federal",124
"Affidavit",174
"Total Ballots","13,363"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","13,363"
,
"Donald J. Trump","8,817"
"John R. Kasich","2,388"
"Ben Carson",123
"Ted Cruz","1,947"
,
,
,
"Total Votes","13,275"
"Unrecorded",88

"Total for 6th Congressional District"
"Public Counter","12,557"
"Emergency",0
"Absentee/Military",508
"Federal",124
"Affidavit",174
"Total Ballots","13,363"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","13,363"
,
"Donald J. Trump","8,817"
"John R. Kasich","2,388"
"Ben Carson",123
"Ted Cruz","1,947"
,
,
,
"Total Votes","13,275"
"Unrecorded",88

"7th Congressional District"
"New York County"
"Public Counter",712
"Emergency",0
"Absentee/Military",31
"Federal",6
"Affidavit",15
"Total Ballots",764
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",764
,
"Donald J. Trump",426
"John R. Kasich",175
"Ben Carson",19
"Ted Cruz",128
,
,
,
"Total Votes",748
"Unrecorded",16

"Kings County"
"Public Counter","2,157"
"Emergency",0
"Absentee/Military",90
"Federal",18
"Affidavit",79
"Total Ballots","2,344"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,344"
,
"Donald J. Trump","1,058"
"John R. Kasich",740
"Ben Carson",42
"Ted Cruz",479
,
,
,
"Total Votes","2,319"
"Unrecorded",25

"Queens County"
"Public Counter",927
"Emergency",0
"Absentee/Military",42
"Federal",3
"Affidavit",6
"Total Ballots",978
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",978
,
"Donald J. Trump",633
"John R. Kasich",158
"Ben Carson",12
"Ted Cruz",164
,
,
,
"Total Votes",967
"Unrecorded",11

"Total for 7th Congressional District"
"Public Counter","3,796"
"Emergency",0
"Absentee/Military",163
"Federal",27
"Affidavit",100
"Total Ballots","4,086"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,086"
,
"Donald J. Trump","2,117"
"John R. Kasich","1,073"
"Ben Carson",73
"Ted Cruz",771
,
,
,
"Total Votes","4,034"
"Unrecorded",52

"8th Congressional District"
"Kings County"
"Public Counter","4,839"
"Emergency",0
"Absentee/Military",118
"Federal",19
"Affidavit",86
"Total Ballots","5,062"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","5,062"
,
"Donald J. Trump","3,678"
"John R. Kasich",643
"Ben Carson",72
"Ted Cruz",640
,
,
,
"Total Votes","5,033"
"Unrecorded",29

"Queens County"
"Public Counter","1,792"
"Emergency",0
"Absentee/Military",53
"Federal",2
"Affidavit",30
"Total Ballots","1,877"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,877"
,
"Donald J. Trump","1,539"
"John R. Kasich",193
"Ben Carson",9
"Ted Cruz",133
,
,
,
"Total Votes","1,874"
"Unrecorded",3

"Total for 8th Congressional District"
"Public Counter","6,631"
"Emergency",0
"Absentee/Military",171
"Federal",21
"Affidavit",116
"Total Ballots","6,939"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,939"
,
"Donald J. Trump","5,217"
"John R. Kasich",836
"Ben Carson",81
"Ted Cruz",773
,
,
,
"Total Votes","6,907"
"Unrecorded",32

"9th Congressional District"
"Kings County"
"Public Counter","5,712"
"Emergency",0
"Absentee/Military",167
"Federal",55
"Affidavit",116
"Total Ballots","6,050"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,050"
,
"Donald J. Trump","3,499"
"John R. Kasich","1,034"
"Ben Carson",67
