,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Bronx County
 - 
Republican Party




Republican President


Citywide


Vote for 1"
"13th Congressional District"
"Assembly District 77"
"Public Counter",30
"Emergency",0
"Absentee/Military",3
"Federal",0
"Affidavit",1
"Total Ballots",34
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",34.00
,
"Donald J. Trump",17
"John R. Kasich",5
"Ben Carson",1
"Ted Cruz",8
,
,
,
"Total Votes",31
"Unrecorded",3

"Assembly District 78"
"Public Counter",204
"Emergency",0
"Absentee/Military",13
"Federal",2
"Affidavit",10
"Total Ballots",229
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",229.00
,
"Donald J. Trump",136
"John R. Kasich",36
"Ben Carson",4
"Ted Cruz",52
,
,
,
"Total Votes",228
"Unrecorded",1

"Assembly District 80"
"Public Counter",83
"Emergency",0
"Absentee/Military",3
"Federal",2
"Affidavit",7
"Total Ballots",95
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",95.00
,
"Donald J. Trump",65
"John R. Kasich",14
"Ben Carson",0
"Ted Cruz",15
,
,
,
"Total Votes",94
"Unrecorded",1

"Assembly District 81"
"Public Counter",270
"Emergency",0
"Absentee/Military",8
"Federal",4
"Affidavit",5
"Total Ballots",287
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",287.00
,
"Donald J. Trump",161
"John R. Kasich",52
"Ben Carson",6
"Ted Cruz",65
,
,
,
"Total Votes",284
"Unrecorded",3

"Assembly District 86"
"Public Counter",15
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",15
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",15.00
,
"Donald J. Trump",11
"John R. Kasich",2
"Ben Carson",0
"Ted Cruz",2
,
,
,
"Total Votes",15
,

"Total for 13th Congressional District-Bronx County"
"Public Counter",602
"Emergency",0
"Absentee/Military",27
"Federal",8
"Affidavit",23
"Total Ballots",660
