,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Republican Party




Republican Member of the Assembly


48th Assembly District


Vote for 1"
"Assembly District 48"
"Public Counter",438
"Emergency",0
"Absentee/Military",7
"Affidavit",2
"Total Ballots",447
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",447
,
"ABRAHAM TISCHLER (Write-In)",1
"ANGDOR MILLER (Write-In)",1
"ANTONIO FOSAMO (Write-In)",1
"AUROLTOM SOFER (Write-In)",1
"BARNES CAREW (Write-In)",1
"BORIS PINKUS (Write-In)",1
"CAROLYN WALTON (Write-In)",1
"CHAIM SHLOMO ABRAMOVITE (Write-In)",1
"DAG KIN (Write-In)",1
"DANIEL D. BAUMANN (Write-In)",1
"DAVID GREENFEILD (Write-In)",2
"DAVID SCHWARTZ (Write-In)",16
"DONALD TRUMP (Write-In)",4
"DOV HIKIND (Write-In)",253
"DWIGHT GOUPEN (Write-In)",1
"FRUMET SCHWARTZ (Write-In)",1
"HILLARY CLINTON (Write-In)",1
"IVANKA TRUMP (Write-In)",1
"JACOB M SAMMELL (Write-In)",1
"M. AVIGDOR (Write-In)",1
"MARK THEYGER (Write-In)",1
"MICHAEL BLAKE (Write-In)",1
"MICHAEL ROMERSA (Write-In)",1
"MOCHAEL FETT (Write-In)",1
"MORDECLTAI AVIGDOR (Write-In)",1
"MORTON M. AVIGDOR (Write-In)",16
"MURDCHES PUISDUR (Write-In)",1
"NEAL ADELSTEIN (Write-In)",1
"NOACH DEER (Write-In)",1
"RACHEL E. FREIER (Write-In)",33
"ROBERT B. AXELROD (Write-In)",1
"ROCHELLE GREIER (Write-In)",1
"ROTH MOSES (Write-In)",1
"SAND STARR (Write-In)",1
"SHELDON SILVER (Write-In)",1
"SIMCHA FELDER (Write-In)",3
"UNATTRIBUTABLE WRITE-IN (Write-In)",60
"YANKY VORHAND (Write-In)",1
"YIDEL PELSTEIN (Write-In)",1
"YITTY FRIELMAN (Write-In)",1
"ZALMEN TEITEBAUM (Write-In)",1
,
,
,
"Total Votes",420
"Unrecorded",27

"Total for Republican Member of the Assembly (48th Assembly District) - Kings County"
"Public Counter",438
"Emergency",0
"Absentee/Military",7
"Affidavit",2
"Total Ballots",447
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",447
,
"ABRAHAM TISCHLER (Write-In)",1
"ANGDOR MILLER (Write-In)",1
"ANTONIO FOSAMO (Write-In)",1
"AUROLTOM SOFER (Write-In)",1
"BARNES CAREW (Write-In)",1
"BORIS PINKUS (Write-In)",1
"CAROLYN WALTON (Write-In)",1
"CHAIM SHLOMO ABRAMOVITE (Write-In)",1
"DAG KIN (Write-In)",1
"DANIEL D. BAUMANN (Write-In)",1
"DAVID GREENFEILD (Write-In)",2
"DAVID SCHWARTZ (Write-In)",16
"DONALD TRUMP (Write-In)",4
"DOV HIKIND (Write-In)",253
"DWIGHT GOUPEN (Write-In)",1
"FRUMET SCHWARTZ (Write-In)",1
"HILLARY CLINTON (Write-In)",1
"IVANKA TRUMP (Write-In)",1
"JACOB M SAMMELL (Write-In)",1
"M. AVIGDOR (Write-In)",1
"MARK THEYGER (Write-In)",1
"MICHAEL BLAKE (Write-In)",1
"MICHAEL ROMERSA (Write-In)",1
"MOCHAEL FETT (Write-In)",1
"MORDECLTAI AVIGDOR (Write-In)",1
"MORTON M. AVIGDOR (Write-In)",16
"MURDCHES PUISDUR (Write-In)",1
"NEAL ADELSTEIN (Write-In)",1
"NOACH DEER (Write-In)",1
"RACHEL E. FREIER (Write-In)",33
"ROBERT B. AXELROD (Write-In)",1
"ROCHELLE GREIER (Write-In)",1
"ROTH MOSES (Write-In)",1
"SAND STARR (Write-In)",1
"SHELDON SILVER (Write-In)",1
"SIMCHA FELDER (Write-In)",3
"UNATTRIBUTABLE WRITE-IN (Write-In)",60
"YANKY VORHAND (Write-In)",1
"YIDEL PELSTEIN (Write-In)",1
"YITTY FRIELMAN (Write-In)",1
"ZALMEN TEITEBAUM (Write-In)",1
,
,
,
"Total Votes",420
"Unrecorded",27


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
