,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Queens County
 - 
Republican Party




Republican President


Citywide


Vote for 1"
"3rd Congressional District"
"Assembly District 24"
"Public Counter",395
"Emergency",0
"Absentee/Military",21
"Federal",2
"Affidavit",2
"Total Ballots",420
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",420.00
,
"Donald J. Trump",272
"John R. Kasich",73
"Ben Carson",2
"Ted Cruz",71
,
,
,
"Total Votes",418
"Unrecorded",2

"Assembly District 25"
"Public Counter",80
"Emergency",0
"Absentee/Military",0
"Federal",1
"Affidavit",2
"Total Ballots",83
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",83.00
,
"Donald J. Trump",54
"John R. Kasich",16
"Ben Carson",1
"Ted Cruz",12
,
,
,
"Total Votes",83
,

"Assembly District 26"
"Public Counter","2,617"
"Emergency",0
"Absentee/Military",102
"Federal",8
"Affidavit",26
"Total Ballots","2,753"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,753.00"
,
"Donald J. Trump","2,014"
"John R. Kasich",456
"Ben Carson",10
"Ted Cruz",261
,
,
,
"Total Votes","2,741"
"Unrecorded",12

"Assembly District 27"
"Public Counter",213
"Emergency",0
"Absentee/Military",4
"Federal",0
"Affidavit",5
"Total Ballots",222
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",222.00
,
"Donald J. Trump",190
"John R. Kasich",22
"Ben Carson",1
"Ted Cruz",8
,
,
,
"Total Votes",221
"Unrecorded",1

"Assembly District 33"
"Public Counter",558
"Emergency",0
"Absentee/Military",28
"Federal",0
"Affidavit",1
"Total Ballots",587
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",587.00
,
"Donald J. Trump",374
"John R. Kasich",123
"Ben Carson",3
"Ted Cruz",86
,
,
,
"Total Votes",586
"Unrecorded",1

"Assembly District 40"
"Public Counter",126
"Emergency",0
"Absentee/Military",9
"Federal",0
"Affidavit",1
"Total Ballots",136
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",136.00
,
"Donald J. Trump",113
"John R. Kasich",17
"Ben Carson",0
"Ted Cruz",6
,
,
,
"Total Votes",136
,

"Total for 3rd Congressional District-Queens County"
"Public Counter","3,989"
"Emergency",0
"Absentee/Military",164
"Federal",11
"Affidavit",37
"Total Ballots","4,201"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,201.00"
,
"Donald J. Trump","3,017"
"John R. Kasich",707
"Ben Carson",17
"Ted Cruz",444
,
,
,
"Total Votes","4,185"
"Unrecorded",16

"5th Congressional District"
"Assembly District 23"
"Public Counter","2,291"
"Emergency",0
"Absentee/Military",82
"Federal",8
"Affidavit",38
"Total Ballots","2,419"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,419.00"
,
"Donald J. Trump","1,594"
