,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Richmond County
 - 
Republican Party




Republican President


Citywide


Vote for 1"
"11th Congressional District"
"Assembly District 61"
"Public Counter","3,088"
"Emergency",0
"Absentee/Military",154
"Federal",3
"Affidavit",36
"Total Ballots","3,281"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,281.00"
,
"Donald J. Trump","2,373"
"John R. Kasich",445
"Ben Carson",30
"Ted Cruz",410
,
,
,
"Total Votes","3,258"
"Unrecorded",23

"Assembly District 62"
"Public Counter","10,819"
"Emergency",0
"Absentee/Military",341
"Federal",7
"Affidavit",73
"Total Ballots","11,240"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","11,240.00"
,
"Donald J. Trump","9,527"
"John R. Kasich",991
"Ben Carson",37
"Ted Cruz",654
,
,
,
"Total Votes","11,209"
"Unrecorded",31

"Assembly District 63"
"Public Counter","5,831"
"Emergency",0
"Absentee/Military",272
"Federal",22
"Affidavit",50
"Total Ballots","6,175"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,175.00"
,
"Donald J. Trump","4,880"
"John R. Kasich",657
"Ben Carson",34
"Ted Cruz",578
,
,
,
"Total Votes","6,149"
"Unrecorded",26

"Assembly District 64"
"Public Counter","5,517"
"Emergency",0
"Absentee/Military",263
"Federal",6
"Affidavit",59
"Total Ballots","5,845"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","5,845.00"
,
"Donald J. Trump","4,741"
"John R. Kasich",597
"Ben Carson",24
"Ted Cruz",454
,
,
,
"Total Votes","5,816"
"Unrecorded",29

"Total for 11th Congressional District-Richmond County"
"Public Counter","25,255"
"Emergency",0
"Absentee/Military","1,030"
"Federal",38
"Affidavit",218
"Total Ballots","26,541"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","26,541.00"
,
"Donald J. Trump","21,521"
"John R. Kasich","2,690"
"Ben Carson",125
"Ted Cruz","2,096"
,
,
,
"Total Votes","26,432"
"Unrecorded",109

"Total for Republican President (Citywide) - Richmond County"

"Public Counter","25,255"
"Emergency",0
"Absentee/Military","1,030"
"Federal",38
"Affidavit",218
"Total Ballots","26,541"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","26,541.00"
,
"Donald J. Trump","21,521"
"John R. Kasich","2,690"
"Ben Carson",125
"Ted Cruz","2,096"
,
,
,
"Total Votes","26,432"
"Unrecorded",109


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
