,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Richmond County
 - 
Republican Party




Republican Member of the Assembly


62nd Assembly District


Vote for 1"
"Assembly District 62"
"Public Counter","3,247"
"Emergency",0
"Absentee/Military",270
"Affidavit",6
"Total Ballots","3,523"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,523"
,
"Janine Materna","1,140"
"Ronald Castorina Jr.","2,365"
"CHRISTOPHER LANGELOTTI (Write-In)",1
"DIANE HOPKINS (Write-In)",1
"KATHLEEN GORMAN (Write-In)",1
"MICHAEL W. GORGA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","3,513"
"Unrecorded",10

"Total for Republican Member of the Assembly (62nd Assembly District) - Richmond County"
"Public Counter","3,247"
"Emergency",0
"Absentee/Military",270
"Affidavit",6
"Total Ballots","3,523"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,523"
,
"Janine Materna","1,140"
"Ronald Castorina Jr.","2,365"
"CHRISTOPHER LANGELOTTI (Write-In)",1
"DIANE HOPKINS (Write-In)",1
"KATHLEEN GORMAN (Write-In)",1
"MICHAEL W. GORGA (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",3
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes","3,513"
"Unrecorded",10


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
