,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Conservative Party




Conservative Member of the Assembly


46th Assembly District


Vote for 1"
"Assembly District 46"
"Public Counter",61
"Emergency",0
"Absentee/Military",6
"Affidavit",0
"Total Ballots",67
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",67
,
"Mikhail Usher",56
"LUCRETIA REGINA POTTER (Write-In)",10
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes",67
,

"Total for Conservative Member of the Assembly (46th Assembly District) - Kings County"
"Public Counter",61
"Emergency",0
"Absentee/Military",6
"Affidavit",0
"Total Ballots",67
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",67
,
"Mikhail Usher",56
"LUCRETIA REGINA POTTER (Write-In)",10
"UNATTRIBUTABLE WRITE-IN (Write-In)",1
,
,
,
"Total Votes",67
,


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
