"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"63","001","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Public Counter",0
"63","001","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Emergency",0
"63","001","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Absentee/Military",0
"63","001","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Affidavit",0
"63","001","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Samuel T. Pirozzolo Jr.",0
"63","001","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Roland Stewart",0
"63","002","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Public Counter",1
"63","002","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Emergency",0
"63","002","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Absentee/Military",0
"63","002","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Affidavit",0
"63","002","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Samuel T. Pirozzolo Jr.",0
"63","002","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Roland Stewart",1
"63","003","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Public Counter",0
"63","003","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Emergency",0
"63","003","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Absentee/Military",0
"63","003","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Affidavit",0
"63","003","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Samuel T. Pirozzolo Jr.",0
"63","003","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Roland Stewart",0
"63","004","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Public Counter",5
"63","004","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Emergency",0
"63","004","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Absentee/Military",2
"63","004","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Affidavit",0
"63","004","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Samuel T. Pirozzolo Jr.",6
"63","004","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Roland Stewart",1
"63","005","Richmond","COMBINED INTO 004/63","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Public Counter",0
"63","005","Richmond","COMBINED INTO 004/63","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Emergency",0
"63","005","Richmond","COMBINED INTO 004/63","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Absentee/Military",0
"63","005","Richmond","COMBINED INTO 004/63","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Affidavit",0
"63","006","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Public Counter",1
"63","006","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Emergency",0
"63","006","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Absentee/Military",0
"63","006","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Affidavit",0
"63","006","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Samuel T. Pirozzolo Jr.",1
"63","006","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Roland Stewart",0
"63","007","Richmond","COMBINED INTO 004/63","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Public Counter",0
"63","007","Richmond","COMBINED INTO 004/63","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Emergency",0
"63","007","Richmond","COMBINED INTO 004/63","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Absentee/Military",0
"63","007","Richmond","COMBINED INTO 004/63","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Affidavit",0
"63","008","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Public Counter",1
"63","008","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Emergency",0
"63","008","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Absentee/Military",0
"63","008","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Affidavit",0
"63","008","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Samuel T. Pirozzolo Jr.",1
"63","008","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Roland Stewart",0
"63","009","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Public Counter",0
"63","009","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Emergency",0
"63","009","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Absentee/Military",0
"63","009","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Affidavit",0
"63","009","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Samuel T. Pirozzolo Jr.",0
"63","009","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Roland Stewart",0
"63","010","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Public Counter",2
"63","010","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Emergency",0
"63","010","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Absentee/Military",0
"63","010","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","District Leader","63",1,"Affidavit",0
