,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Richmond County
 - 
Conservative Party




Conservative District Leader


Conservative Leadership District 63


Vote for 1"
"Assembly District 63"
"Public Counter",72
"Emergency",0
"Absentee/Military",14
"Affidavit",0
"Total Ballots",86
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",86
,
"Samuel T. Pirozzolo Jr.",34
"Roland Stewart",50
"MARK MURPHY (Write-In)",1
"RONALD CASTORINA JR. (Write-In)",1
,
,
,
"Total Votes",86
,

"Total for Conservative District Leader (Conservative Leadership District 63) - Richmond County"
"Public Counter",72
"Emergency",0
"Absentee/Military",14
"Affidavit",0
"Total Ballots",86
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",86
,
"Samuel T. Pirozzolo Jr.",34
"Roland Stewart",50
"MARK MURPHY (Write-In)",1
"RONALD CASTORINA JR. (Write-In)",1
,
,
,
"Total Votes",86
,


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
