,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Richmond County
 - 
Conservative Party




Conservative District Leader


Conservative Leadership District 64RH


Vote for 1"
"Assembly District 64"
"Public Counter",108
"Emergency",0
"Absentee/Military",3
"Affidavit",0
"Total Ballots",111
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",111
,
"James C. Howarth Sr.",23
"David M. Curcio",88
,
,
,
"Total Votes",111
,

"Total for Conservative District Leader (Conservative Leadership District 64RH) - Richmond County"
"Public Counter",108
"Emergency",0
"Absentee/Military",3
"Affidavit",0
"Total Ballots",111
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",111
,
"James C. Howarth Sr.",23
"David M. Curcio",88
,
,
,
"Total Votes",111
,


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
