,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Richmond County
 - 
Conservative Party




Conservative Delegate to Judicial Convention


61st Assembly District


Vote for 1"
"Assembly District 61"
"Public Counter",20
"Emergency",0
"Absentee/Military",7
"Affidavit",2
"Total Ballots",29
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",29
,
"Harold J. Wagner Jr.",23
"Alla Rostomian",3
"SAM PIROZZOLO (Write-In)",1
,
,
,
"Total Votes",27
"Unrecorded",2

"Total for Conservative Delegate to Judicial Convention (61st Assembly District) - Richmond County"
"Public Counter",20
"Emergency",0
"Absentee/Military",7
"Affidavit",2
"Total Ballots",29
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",29
,
"Harold J. Wagner Jr.",23
"Alla Rostomian",3
"SAM PIROZZOLO (Write-In)",1
,
,
,
"Total Votes",27
"Unrecorded",2


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
