"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"62","001","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Public Counter",4
"62","001","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Emergency",0
"62","001","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Absentee/Military",0
"62","001","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Affidavit",0
"62","001","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Benny A. Umbra",2
"62","001","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Albert W. Klingele",2
"62","001","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Frank P. Aversa",1
"62","002","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Public Counter",1
"62","002","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Emergency",0
"62","002","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Absentee/Military",0
"62","002","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Affidavit",0
"62","002","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Benny A. Umbra",0
"62","002","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Albert W. Klingele",0
"62","002","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Frank P. Aversa",1
"62","003","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Public Counter",3
"62","003","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Emergency",0
"62","003","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Absentee/Military",0
"62","003","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Affidavit",0
"62","003","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Benny A. Umbra",2
"62","003","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Albert W. Klingele",3
"62","003","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Frank P. Aversa",1
"62","004","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Public Counter",0
"62","004","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Emergency",0
"62","004","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Absentee/Military",0
"62","004","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Affidavit",0
"62","004","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Benny A. Umbra",0
"62","004","Richmond","IN-PLAY","Primary Election 2016 - 09/13/2016","Conservative","Delegate to Judicial Convention","62",2,"Albert W. Klingele",0
