,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Richmond County
 - 
Conservative Party




Conservative Delegate to Judicial Convention


62nd Assembly District


Vote for 2"
"Assembly District 62"
"Public Counter",107
"Emergency",0
"Absentee/Military",5
"Affidavit",1
"Total Ballots",113
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",113
,
"Benny A. Umbra",49
"Albert W. Klingele",62
"Frank P. Aversa",48
"JANINE MATERNA (Write-In)",2
"RONALD CASTORINA JR. (Write-In)",3
,
,
,
"Total Votes",164
"Unrecorded",62

"Total for Conservative Delegate to Judicial Convention (62nd Assembly District) - Richmond County"
"Public Counter",107
"Emergency",0
"Absentee/Military",5
"Affidavit",1
"Total Ballots",113
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",113
,
"Benny A. Umbra",49
"Albert W. Klingele",62
"Frank P. Aversa",48
"JANINE MATERNA (Write-In)",2
"RONALD CASTORINA JR. (Write-In)",3
,
,
,
"Total Votes",164
"Unrecorded",62


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
