,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Independence Party




Independence Member of the Assembly


76th Assembly District


Vote for 1"
"Assembly District 76"
"Public Counter",13
"Emergency",0
"Absentee/Military",0
"Affidavit",0
"Total Ballots",13
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",13
,
"DEBORAH MCEVILLY (Write-In)",1
"JONATHAN KOSTAKOPOULOS (Write-In)",9
"ROSANNA VARGAS (Write-In)",1
"SABRINA KRAUS (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes",13
,

"Total for Independence Member of the Assembly (76th Assembly District) - New York County"
"Public Counter",13
"Emergency",0
"Absentee/Military",0
"Affidavit",0
"Total Ballots",13
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",13
,
"DEBORAH MCEVILLY (Write-In)",1
"JONATHAN KOSTAKOPOULOS (Write-In)",9
"ROSANNA VARGAS (Write-In)",1
"SABRINA KRAUS (Write-In)",1
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
,
,
,
"Total Votes",13
,


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
