,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


New York County
 - 
Women's Equality Party




Women's Equality Member of the Assembly


73rd Assembly District


Vote for 1"
"Assembly District 73"
"Public Counter",0
"Emergency",5
"Absentee/Military",0
"Affidavit",0
"Total Ballots",5
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",5
,
"REBECCA HARARY (Write-In)",3
,
,
,
"Total Votes",3
"Unrecorded",2

"Total for Women's Equality Member of the Assembly (73rd Assembly District) - New York County"
"Public Counter",0
"Emergency",5
"Absentee/Military",0
"Affidavit",0
"Total Ballots",5
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",5
,
"REBECCA HARARY (Write-In)",3
,
,
,
"Total Votes",3
"Unrecorded",2


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
