"Statement and Return Report

for Certification



Federal Primary - 06/28/2016


New York County
 - 
Reform Party




Reform Representative in Congress


13th Congressional District


Vote for 1",,,,,,,
,,,,,,,
Total for Reform Representative in Congress (13th Congressional District) - New York County,,,,,,,
Public Counter,0,,,,,,
Emergency,2,,,,,,
Absentee/Military,0,,,,,,
Federal,0,,,,,,
Affidavit,0,,,,,,
Total Ballots,2,,,,,,
Less - Inapplicable Federal/Special Presidential Ballots,0,,,,,,
Total Applicable Ballots,2,,,,,,
,,,,,,,
ADRIANO ESPALLAT (Write-In),1,,,,,,
CLYDE WILLIAMS (Write-In),1,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Total Votes,2,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on",Date,Secretary,Chairman,Chief Clerk,Canvassing Board,Canvassing Board,Deputy Chief Clerk
Page -1 of 1,,,,,,,
