,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Kings County
 - 
Reform Party




Reform Member of the Assembly


46th Assembly District


Vote for 1"
"Assembly District 46"
"Public Counter",0
"Emergency",1
"Absentee/Military",2
"Affidavit",0
"Total Ballots",3
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",3
,
"LUCRETIA REGINA-POTTER (Write-In)",2
"MARK TREYGER (Write-In)",1
,
,
,
"Total Votes",3
,

"Total for Reform Member of the Assembly (46th Assembly District) - Kings County"
"Public Counter",0
"Emergency",1
"Absentee/Military",2
"Affidavit",0
"Total Ballots",3
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",3
,
"LUCRETIA REGINA-POTTER (Write-In)",2
"MARK TREYGER (Write-In)",1
,
,
,
"Total Votes",3
,


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
