,
"Statement and Return Report

for Certification



Primary Election 2016 - 09/13/2016


Richmond County
 - 
Reform Party




Reform County Committee


031/64


Vote for 2"
"Assembly District 64"
"Public Counter",0
"Emergency",0
"Absentee/Military",0
"Affidavit",0
"Total Ballots",0
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",0
,
"Brianna Boraggi",0
"Bernadette Stryzewski",0
"Barbara J. Fischer",0
,
,
,
"Total Votes",0
,

"Total for Reform County Committee (031/64) - Richmond County"
"Public Counter",0
"Emergency",0
"Absentee/Military",0
"Affidavit",0
"Total Ballots",0
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",0
,
"Brianna Boraggi",0
"Bernadette Stryzewski",0
"Barbara J. Fischer",0
,
,
,
"Total Votes",0
,


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
