County,ED,AD,Site Name,Site Address
Bronx,001,77,PS 73 Bronx,1020 Anderson Avenue
Bronx,002,77,PS 73 Bronx,1020 Anderson Avenue
Bronx,003,77,Highbridge Gardens Community Center,1155 University Avenue
Bronx,004,77,PS 73 Bronx,1020 Anderson Avenue
Bronx,005,77,Highbridge Gardens Community Center,1155 University Avenue
Bronx,006,77,PS 11 Highbridge,1257 Ogden Avenue
Bronx,007,77,PS 11 Highbridge,1257 Ogden Avenue
Bronx,008,77,PS 11 Highbridge,1257 Ogden Avenue
Bronx,009,77,PS 11 Highbridge,1257 Ogden Avenue
Bronx,010,77,Antonia Diaz Houses,1454 Shakespeare Avenue
Bronx,011,77,Antonia Diaz Houses,1454 Shakespeare Avenue
Bronx,012,77,PS 64 Pura Belpre,1425. Walton Avenue
Bronx,013,77,PS 64 Pura Belpre,1425. Walton Avenue
Bronx,014,77,PS 64 Pura Belpre,1425. Walton Avenue
Bronx,015,77,PS 64 Pura Belpre,1425. Walton Avenue
Bronx,016,77,PS 64 Pura Belpre,1425. Walton Avenue
Bronx,017,77,PS 70 Max Schoenfeld,1691 Weeks Avenue
Bronx,018,77,PS 306,40 West Tremont Avenue
Bronx,019,77,Sedgwick Community Center,1553 University Avenue
Bronx,020,77,Bronxworks Heights Senior Center,200 West Tremont Avenue
Bronx,021,77,Bronxworks Heights Senior Center,200 West Tremont Avenue
Bronx,022,77,Bronxworks Heights Senior Center,200 West Tremont Avenue
Bronx,023,77,Sedgwick Community Center,1553 University Avenue
Bronx,024,77,Sedgwick Community Center,1553 University Avenue
Bronx,025,77,PS 229 Roland Patterson,275 Harlem River Park Bridge
Bronx,026,77,Bronxworks Heights Senior Center,200 West Tremont Avenue
Bronx,027,77,PS 229 Roland Patterson,275 Harlem River Park Bridge
Bronx,028,77,PS 229 Roland Patterson,275 Harlem River Park Bridge
Bronx,029,77,PS 229 Roland Patterson,275 Harlem River Park Bridge
Bronx,030,77,PS 229 Roland Patterson,275 Harlem River Park Bridge
Bronx,031,77,Bronxworks Heights Senior Center,200 West Tremont Avenue
Bronx,032,77,PS 306,40 West Tremont Avenue
