County,ED,AD,Site Name,Site Address
Kings,001,41,PS 197,1599 East 22 Street
Kings,002,41,PS 197,1599 East 22 Street
Kings,003,41,Kings Highway Public Library,2115 Ocean Avenue
Kings,004,41,PS 197,1599 East 22 Street
Kings,005,41,James Madison HS,3787 Bedford Avenue
Kings,006,41,Kings Highway Public Library,2115 Ocean Avenue
Kings,007,41,PS 234 IS,1875 East 17 Street
Kings,008,41,PS 234 IS,1875 East 17 Street
Kings,009,41,PS 234 IS,1875 East 17 Street
Kings,010,41,PS 206,2200 Gravesend Neck Road
Kings,011,41,PS 197,1599 East 22 Street
Kings,012,41,James Madison HS,3787 Bedford Avenue
Kings,013,41,James Madison HS,3787 Bedford Avenue
Kings,014,41,Carmine Carro Community Center,3000 Fillmore Avenue
Kings,015,41,James Madison HS,3787 Bedford Avenue
Kings,016,41,PS 222,3301 Quentin Road
Kings,017,41,PS 222,3301 Quentin Road
Kings,018,41,Carmine Carro Community Center,3000 Fillmore Avenue
Kings,019,41,Zvi Dov Roth Academy of Yeshiva Rambam,3300 Kings Highway
Kings,020,41,Zvi Dov Roth Academy of Yeshiva Rambam,3300 Kings Highway
Kings,021,41,PS 207 Annex Early Childhood Ctr,3920 Flatlands Avenue
Kings,022,41,PS 207 Annex Early Childhood Ctr,3920 Flatlands Avenue
Kings,023,41,PS 207 Annex Early Childhood Ctr,3920 Flatlands Avenue
Kings,024,41,Zvi Dov Roth Academy of Yeshiva Rambam,3300 Kings Highway
Kings,025,41,Zvi Dov Roth Academy of Yeshiva Rambam,3300 Kings Highway
Kings,026,41,Zvi Dov Roth Academy of Yeshiva Rambam,3300 Kings Highway
Kings,027,41,PS 207 Annex Early Childhood Ctr,3920 Flatlands Avenue
Kings,028,41,PS 207 Annex Early Childhood Ctr,3920 Flatlands Avenue
Kings,029,41,Zvi Dov Roth Academy of Yeshiva Rambam,3300 Kings Highway
Kings,030,41,IS 395/PS 109,1001 East 45 Street
Kings,031,41,IS 395/PS 109,1001 East 45 Street
Kings,032,41,IS 395/PS 109,1001 East 45 Street
Kings,033,41,IS 395/PS 109,1001 East 45 Street
Kings,034,41,IS 395/PS 109,1001 East 45 Street
Kings,035,41,PS 206,2200 Gravesend Neck Road
Kings,036,41,PS 277,2529 Gerritsen Avenue
Kings,037,41,PS 251,1037 East 54 Street
Kings,038,41,PS 251,1037 East 54 Street
Kings,039,41,PS 203,5101 Avenue M
Kings,040,41,PS 251,1037 East 54 Street
Kings,041,41,PS 203,5101 Avenue M
Kings,042,41,Kings Bay YM-YWHA,3495 Nostrand Avenue
Kings,043,41,PS 207 Annex Early Childhood Ctr,3920 Flatlands Avenue
Kings,044,41,PS 52,2675 East 29 Street
Kings,045,41,PS 208,4801 Avenue D
Kings,046,41,PS 194,3117 Avenue W
Kings,047,41,PS 208,4801 Avenue D
Kings,048,41,PS 235 Annex,5811 Ditmas Avenue
Kings,049,41,PS 251,1037 East 54 Street
Kings,050,41,PS 193,2515 Avenue L
Kings,051,41,Zvi Dov Roth Academy of Yeshiva Rambam,3300 Kings Highway
Kings,052,41,Roosevelt Hall,2946 Bedford Avenue
Kings,053,41,Roosevelt Hall,2946 Bedford Avenue
Kings,054,41,Roosevelt Hall,2946 Bedford Avenue
Kings,055,41,Roosevelt Hall,2946 Bedford Avenue
Kings,056,41,PS 222,3301 Quentin Road
Kings,057,41,James Madison HS,3787 Bedford Avenue
Kings,058,41,James Madison HS,3787 Bedford Avenue
Kings,059,41,James Madison HS,3787 Bedford Avenue
Kings,060,41,Kings Bay YM-YWHA,3495 Nostrand Avenue
Kings,061,41,Kings Bay YM-YWHA,3495 Nostrand Avenue
Kings,062,41,Kings Bay YM-YWHA,3495 Nostrand Avenue
Kings,063,41,PS 194,3117 Avenue W
Kings,064,41,PS 194,3117 Avenue W
Kings,065,41,IS 14,2424 Batchelder Street
Kings,066,41,PS 194,3117 Avenue W
Kings,067,41,IS 14,2424 Batchelder Street
Kings,068,41,IS 14,2424 Batchelder Street
Kings,069,41,IS 14,2424 Batchelder Street
Kings,070,41,Kings Bay  Public Library,3650 Nostrand Avenue
Kings,071,41,PS 286,2525 Haring Street
Kings,072,41,IS 14,2424 Batchelder Street
Kings,073,41,PS 286,2525 Haring Street
Kings,074,41,PS 286,2525 Haring Street
Kings,075,41,PS 206,2200 Gravesend Neck Road
