County,ED,AD,Site Name,Site Address
New York,001,65,UASBYW,81 New Street
New York,002,65,Residential Building,45 Wall Street
New York,003,65,St Margaret's House,49 Fulton Street
New York,004,65,St Margaret's House,49 Fulton Street
New York,005,65,St Margaret's House,49 Fulton Street
New York,006,65,Southbridge Tower II,66 Frankfort Street
New York,007,65,Southbridge Tower II,66 Frankfort Street
New York,008,65,Southbridge Tower II,66 Frankfort Street
New York,009,65,HS For Leadership,90 Trinity Place
New York,010,65,HS For Leadership,90 Trinity Place
New York,011,65,HS For Leadership,90 Trinity Place
New York,012,65,PS 276,55 Battery Place
New York,013,65,PS 276,55 Battery Place
New York,014,65,PS 276,55 Battery Place
New York,015,65,PS 276,55 Battery Place
New York,016,65,PS 89,201 Warren Street
New York,017,65,Civil Court,111 Centre Street
New York,018,65,Hamilton Madison House,50 Madison Street
New York,019,65,Alfred E. Smith Recreation Center,80 Catherine St.
New York,020,65,Hamilton Madison House,50 Madison Street
New York,021,65,Hamilton Madison House,50 Madison Street
New York,022,65,Civil Court,111 Centre Street
New York,023,65,Confucius Plaza,33 Bowery
New York,024,65,PS 130,143 Baxter Street
New York,025,65,Alfred E. Smith Recreation Center,80 Catherine St.
New York,026,65,Hamilton Madison House,50 Madison Street
New York,027,65,Hamilton Madison House,50 Madison Street
New York,028,65,Hamilton Madison House,50 Madison Street
New York,029,65,Confucius Plaza,33 Bowery
New York,030,65,Confucius Plaza,33 Bowery
New York,031,65,Confucius Plaza,33 Bowery
New York,032,65,PS 2 (Meyer London),122 Henry Street
New York,033,65,Rutgers House,200 Madison Street
New York,034,65,PS 2 (Meyer London),122 Henry Street
New York,035,65,Rutgers House,200 Madison Street
New York,036,65,PS 184M,327 Cherry Street
New York,037,65,PS 184M,327 Cherry Street
New York,038,65,PS 184M,327 Cherry Street
New York,039,65,PS 184M,327 Cherry Street
New York,040,65,JHS 56,220 Henry Street
New York,041,65,JHS 56,220 Henry Street
New York,042,65,PS 184M,327 Cherry Street
New York,043,65,JHS 56,220 Henry Street
New York,044,65,East River Housing III,457 FDR DRIVE
New York,045,65,East River Housing II,575 Grand Street
New York,046,65,East River Housing IV,477 FDR Drive
New York,047,65,East River Housing I,570 Grand Street
New York,048,65,Amalgamated Dwelling,504A Grand Street
New York,049,65,Masaryk Towers,77 Columbia Street
New York,050,65,Masaryk Towers,77 Columbia Street
New York,051,65,Amalgamated Dwelling,504A Grand Street
New York,052,65,PS 134,293 East Broadway
New York,053,65,Seward Park III,415 Grand Street
New York,054,65,Seward Park II,210 East Broadway
New York,055,65,Seward Park IV,385 Grand Street
New York,056,65,PS 134,293 East Broadway
New York,057,65,Seward Park IV,385 Grand Street
New York,058,65,PS 131,100 Hester Street
New York,059,65,PS 2 (Meyer London),122 Henry Street
New York,060,65,PS 131,100 Hester Street
New York,061,65,PS 131,100 Hester Street
New York,062,65,PS 131,100 Hester Street
New York,063,65,PS 130,143 Baxter Street
New York,064,65,PS 130,143 Baxter Street
New York,065,65,PS 130,143 Baxter Street
New York,066,65,PS 130,143 Baxter Street
New York,067,65,PS 130,143 Baxter Street
New York,068,65,Lira Apartments,21 Spring Street
New York,069,65,Mott Street Sr Ctr,180 Mott Street
New York,070,65,Max Meltzer Community Center,94 East 1 Street
New York,071,65,Mott Street Sr Ctr,180 Mott Street
New York,072,65,Rafael Hernandez Houses,189 Allen Street
New York,073,65,PS 20,166 Essex Street
New York,074,65,Rafael Hernandez Houses,189 Allen Street
New York,075,65,PS 20,166 Essex Street
New York,076,65,PS 20,166 Essex Street
New York,077,65,Max Meltzer Community Center,94 East 1 Street
New York,078,65,PS 63,121 East 3 Street
New York,079,65,PS 63,121 East 3 Street
New York,080,65,PS 140,123 Ridge Street
New York,081,65,PS 140,123 Ridge Street
New York,082,65,Civil Court,111 Centre Street
New York,083,65,JHS 56,220 Henry Street
New York,084,65,Civil Court,111 Centre Street
New York,085,65,St Margaret's House,49 Fulton Street
New York,086,65,St Margaret's House,49 Fulton Street
New York,087,65,Southbridge Tower II,66 Frankfort Street
New York,088,65,UASBYW,81 New Street
New York,089,65,UASBYW,81 New Street
New York,090,65,PS 276,55 Battery Place
New York,091,65,HS For Leadership,90 Trinity Place
New York,092,65,HS For Leadership,90 Trinity Place
New York,093,65,HS For Leadership,90 Trinity Place
New York,094,65,Civil Court,111 Centre Street
New York,095,65,Civil Court,111 Centre Street
New York,096,65,Civil Court,111 Centre Street
New York,097,65,Civil Court,111 Centre Street
New York,098,65,Max Meltzer Community Center,94 East 1 Street
New York,099,65,PS 20,166 Essex Street
New York,001,66,PS 89,201 Warren Street
New York,002,66,PS 89,201 Warren Street
New York,003,66,PS 234 (Independence),292 Greenwich Street
New York,004,66,Tweed Court,52 Chambers Street
New York,005,66,Tweed Court,52 Chambers Street
New York,006,66,PS 234 (Independence),292 Greenwich Street
New York,007,66,Tweed Court,52 Chambers Street
New York,008,66,PS 234 (Independence),292 Greenwich Street
New York,009,66,PS 234 (Independence),292 Greenwich Street
New York,010,66,Civil Court,111 Centre Street
New York,011,66,PS 234 (Independence),292 Greenwich Street
New York,012,66,PS 234 (Independence),292 Greenwich Street
New York,013,66,PS 234 (Independence),292 Greenwich Street
New York,014,66,St Anthony's Church,155 Sullivan Street
New York,015,66,St Anthony's Church,155 Sullivan Street
New York,016,66,PS 130,143 Baxter Street
New York,017,66,PS 130,143 Baxter Street
New York,018,66,St Anthony's Church,155 Sullivan Street
New York,019,66,Lira Apartments,21 Spring Street
New York,020,66,JASA Community Center,200 East 5 Street
New York,021,66,St Anthony's Church,155 Sullivan Street
New York,022,66,Washington Sq SE Ap,505 Laguardia Place
New York,023,66,St Anthony's Church,155 Sullivan Street
New York,024,66,NYU Wash Square Village 2,2 Washington Square Village
New York,025,66,JASA Community Center,200 East 5 Street
New York,026,66,PS 751,113 East 4 Street
New York,027,66,PS 751,113 East 4 Street
New York,028,66,JASA Community Center,200 East 5 Street
New York,029,66,JASA Community Center,200 East 5 Street
New York,030,66,PS 751,113 East 4 Street
New York,031,66,PS 751,113 East 4 Street
New York,032,66,Theater For New City,155 1 Avenue
New York,033,66,Theater For New City,155 1 Avenue
New York,034,66,Sirovich Senior Center,331 East 12 Street
New York,035,66,Sirovich Senior Center,331 East 12 Street
New York,036,66,Sirovich Senior Center,331 East 12 Street
New York,037,66,NYU Alumni Hall,33 3 Avenue
New York,038,66,NYU The Palladium,133 East 13 Street
New York,039,66,NYU University Hall,110 East 14 Street
New York,040,66,St Anthony's Church,155 Sullivan Street
New York,041,66,St Anthony's Church,155 Sullivan Street
New York,042,66,St Anthony's Church,155 Sullivan Street
New York,043,66,NYU The Palladium,133 East 13 Street
New York,044,66,St Anthony's Church,155 Sullivan Street
New York,045,66,NYU Wash Square Village 3,3 Washington Square Village
New York,046,66,St Anthony's Church,155 Sullivan Street
New York,047,66,PS 41,116 West 11 Street
New York,048,66,JASA Community Center,200 East 5 Street
New York,049,66,NYU Brittany Hall,55 East 10 Street
New York,050,66,NYU Brittany Hall,55 East 10 Street
New York,051,66,NYU The Palladium,133 East 13 Street
New York,052,66,NYU Brittany Hall,55 East 10 Street
New York,053,66,Yeshiva University-Cardozo School of Law,55 5 Avenue
New York,054,66,Yeshiva University-Cardozo School of Law,55 5 Avenue
New York,055,66,NYU The Palladium,133 East 13 Street
New York,056,66,Yeshiva University-Cardozo School of Law,55 5 Avenue
New York,057,66,The Clinton School for Writers and Artists,10 East 15 Street
New York,058,66,PS 41,116 West 11 Street
New York,059,66,PS 41,116 West 11 Street
New York,060,66,PS 41,116 West 11 Street
New York,061,66,PS 41,116 West 11 Street
New York,062,66,PS 41,116 West 11 Street
New York,063,66,PS 41,116 West 11 Street
New York,064,66,PS 41,116 West 11 Street
New York,065,66,Southbridge Tower II,66 Frankfort Street
New York,066,66,PS 3,490 Hudson Street
New York,067,66,City As School,16 Clarkson Street
New York,068,66,City As School,16 Clarkson Street
New York,069,66,City As School,16 Clarkson Street
New York,070,66,City As School,16 Clarkson Street
New York,071,66,City As School,16 Clarkson Street
New York,072,66,PS 3,490 Hudson Street
New York,073,66,PS 3,490 Hudson Street
New York,074,66,PS 3,490 Hudson Street
New York,075,66,PS 3,490 Hudson Street
New York,076,66,PS 41,116 West 11 Street
New York,077,66,PS 3,490 Hudson Street
New York,078,66,PS 3,490 Hudson Street
New York,079,66,Westbeth  Housing,155 Bank Street
New York,080,66,Westbeth  Housing,155 Bank Street
New York,081,66,Westbeth  Housing,155 Bank Street
New York,082,66,Westbeth  Housing,155 Bank Street
New York,083,66,Lesbian And Gay Center,208 West 13 Street
New York,084,66,Lesbian And Gay Center,208 West 13 Street
New York,085,66,PS 41,116 West 11 Street
New York,086,66,PS 41,116 West 11 Street
New York,087,66,PS 41,116 West 11 Street
New York,088,66,Lesbian And Gay Center,208 West 13 Street
New York,089,66,Lesbian And Gay Center,208 West 13 Street
New York,090,66,IS 70,333 West 17 Street
New York,091,66,PS 89,201 Warren Street
New York,092,66,City As School,16 Clarkson Street
New York,093,66,PS 41,116 West 11 Street
New York,094,66,NYU Wash Square Village 2,2 Washington Square Village
New York,095,66,PS 41,116 West 11 Street
New York,096,66,PS 3,490 Hudson Street
New York,097,66,NYU Wash Square Village 3,3 Washington Square Village
New York,098,66,St Anthony's Church,155 Sullivan Street
New York,099,66,PS 234 (Independence),292 Greenwich Street
New York,100,66,Southbridge Tower II,66 Frankfort Street
New York,101,66,NYU Brittany Hall,55 East 10 Street
New York,102,66,JASA Community Center,200 East 5 Street
New York,103,66,Sirovich Senior Center,331 East 12 Street
New York,104,66,NYU Wash Square Village 2,2 Washington Square Village
New York,105,66,PS 234 (Independence),292 Greenwich Street
New York,106,66,PS 751,113 East 4 Street
New York,001,67,River Place 1,650 West 42 Street
New York,002,67,Elias Howe Primary School 51 Manhattan,525 West 44 Street
New York,003,67,River Place 1,650 West 42 Street
New York,004,67,Park West High School,525 West 50 Street
New York,005,67,Park West High School,525 West 50 Street
New York,006,67,PS 111,440 West 53 Street
New York,007,67,PS 111,440 West 53 Street
New York,008,67,PS 111,440 West 53 Street
New York,009,67,PS 111,440 West 53 Street
New York,010,67,PS 111,440 West 53 Street
New York,011,67,Unity Center,213 West 58 Street
New York,012,67,PS 111,440 West 53 Street
New York,013,67,PS 111,440 West 53 Street
New York,014,67,PS 111,440 West 53 Street
New York,015,67,PS 111,440 West 53 Street
New York,016,67,PS 111,440 West 53 Street
New York,017,67,Unity Center,213 West 58 Street
New York,018,67,PS 191,210 West 61 Street
New York,019,67,Clinton Senior Center,530 West 55 Street
New York,020,67,PS 191,210 West 61 Street
New York,021,67,PS 191,210 West 61 Street
New York,022,67,PS 191,210 West 61 Street
New York,023,67,PS 191,210 West 61 Street
New York,024,67,LaGuardia High School,100 Amsterdam Avenue
New York,025,67,Lincoln Square Neighborhood Center,250 West 65 Street
New York,026,67,Lincoln Square Neighborhood Center,250 West 65 Street
New York,027,67,Lincoln Square Neighborhood Center,250 West 65 Street
New York,028,67,LaGuardia High School,100 Amsterdam Avenue
New York,029,67,LaGuardia High School,100 Amsterdam Avenue
New York,030,67,Lincoln Square Neighborhood Center,250 West 65 Street
New York,031,67,Lincoln Towers,140 West End Avenue
New York,032,67,LaGuardia High School,100 Amsterdam Avenue
New York,033,67,PS 199,270 West 70 Street
New York,034,67,LaGuardia High School,100 Amsterdam Avenue
New York,035,67,LaGuardia High School,100 Amsterdam Avenue
New York,036,67,PS 199,270 West 70 Street
New York,037,67,Find Aid For Aged (Hargrave),111 West 71 Street
New York,038,67,Find Aid For Aged (Hargrave),111 West 71 Street
New York,039,67,Find Aid For Aged (Hargrave),111 West 71 Street
New York,040,67,Find Aid For Aged (Hargrave),111 West 71 Street
New York,041,67,Find Aid For Aged (Hargrave),111 West 71 Street
New York,042,67,Lincoln Towers III,160 West End Avenue
New York,043,67,Lincoln Towers II,150 West End Avenue
New York,044,67,Lincoln Guild Housing,303 West 66 Street
New York,045,67,Lincoln Square Neighborhood Center,250 West 65 Street
New York,046,67,Lincoln Towers II,150 West End Avenue
New York,047,67,PS 199,270 West 70 Street
New York,048,67,Lincoln Towers VI,205 West End Avenue
New York,049,67,PS 199,270 West 70 Street
New York,050,67,PS 199,270 West 70 Street
New York,051,67,River Place 1,650 West 42 Street
New York,052,67,PS 199,270 West 70 Street
New York,053,67,National Council of Jewish Women New York Section,241 West 72 Street
New York,054,67,Find Aid For Aged (Hamilton),141 West 73 Street
New York,055,67,Find Aid For Aged (Hamilton),141 West 73 Street
New York,056,67,Find Aid For Aged (Hamilton),141 West 73 Street
New York,057,67,National Council of Jewish Women New York Section,241 West 72 Street
New York,058,67,PS 199,270 West 70 Street
New York,059,67,PS 199,270 West 70 Street
New York,060,67,Rutgers Presbyterian,236 West 73 Street
New York,061,67,Find Aid For Aged (Hamilton),141 West 73 Street
New York,062,67,Find Aid For Aged (Hamilton),141 West 73 Street
New York,063,67,William O'Shea Campus,100 West 77 Street
New York,064,67,William O'Shea Campus,100 West 77 Street
New York,065,67,Rutgers Presbyterian,236 West 73 Street
New York,066,67,PS 87,160 West 78 Street
New York,067,67,William O'Shea Campus,100 West 77 Street
New York,068,67,PS 87,160 West 78 Street
New York,069,67,William O'Shea Campus,100 West 77 Street
New York,070,67,William O'Shea Campus,100 West 77 Street
