County,ED,AD,Site Name,Site Address
Queens,001,23,Blessed Trinity Church,204-25 Rockaway Point Boulevard
Queens,002,23,Blessed Trinity Church,204-25 Rockaway Point Boulevard
Queens,003,23,Blessed Trinity Church,204-25 Rockaway Point Boulevard
Queens,004,23,Blessed Trinity Church,204-25 Rockaway Point Boulevard
Queens,005,23,PS 114-Belle Harbor,134-09 Cronston Avenue
Queens,006,23,PS 114-Belle Harbor,134-09 Cronston Avenue
Queens,007,23,PS 114-Belle Harbor,134-09 Cronston Avenue
Queens,008,23,PS 114-Belle Harbor,134-09 Cronston Avenue
Queens,009,23,PS 114-Belle Harbor,134-09 Cronston Avenue
Queens,010,23,PS 114-Belle Harbor,134-09 Cronston Avenue
Queens,011,23,Seaside Library,116-15 Rockaway Beach Blvd.
Queens,012,23,Seaside Library,116-15 Rockaway Beach Blvd.
Queens,013,23,Dayton Tower West 10200,102-00 Shore Front Parkway
Queens,014,23,Dayton Tower West 10200,102-00 Shore Front Parkway
Queens,015,23,Dayton Beach Park 8600,86-00 Shore Front Parkway
Queens,016,23,Dayton Beach Park 8200,82-00 Shore Front Parkway
Queens,017,23,Dayton Towers East 7400,7400 Shore Front Parkway
Queens,018,23,Dayton Tower West 10200,102-00 Shore Front Parkway
Queens,019,23,Peninsula Library,92-25 Rockaway Beach Boulevard
Queens,020,23,Peninsula Library,92-25 Rockaway Beach Boulevard
Queens,021,23,Dayton Towers East 7400,7400 Shore Front Parkway
Queens,022,23,PS 105-The Bay School,420 Beach 51 Street
Queens,023,23,JASA Brookdale Village Senior Ctr.,131 Beach 19 Street
Queens,024,23,JASA Brookdale Village Senior Ctr.,131 Beach 19 Street
Queens,025,23,Young Israel of Far Rockaway,716 Beach 9 Street
Queens,026,23,Sand Castle,711 Seagirt Avenue
Queens,027,23,Young Israel of Far Rockaway,716 Beach 9 Street
Queens,028,23,MS 53 / IS 53 -Brian Piccolo,10-45 Nameoke Street
Queens,029,23,MS 53 / IS 53 -Brian Piccolo,10-45 Nameoke Street
Queens,030,23,Young Israel of Far Rockaway,716 Beach 9 Street
Queens,031,23,Young Israel of Far Rockaway,716 Beach 9 Street
Queens,032,23,Evelyn & Lou Grn Res,19-15 Seagirt Blvd
Queens,033,23,Evelyn & Lou Grn Res,19-15 Seagirt Blvd
Queens,034,23,PS 215 - Lucretia Mott,5-35 Briar Place
Queens,035,23,PS 104-Bays Water,26-01 Mott Avenue
Queens,036,23,PS 104-Bays Water,26-01 Mott Avenue
Queens,037,23,PS 104-Bays Water,26-01 Mott Avenue
Queens,038,23,PS 105-The Bay School,420 Beach 51 Street
Queens,039,23,Young Israel of Far Rockaway,716 Beach 9 Street
Queens,040,23,PS 47-Chris Galas,9 Power Road
Queens,041,23,PS 47-Chris Galas,9 Power Road
Queens,042,23,Evelyn & Lou Grn Res,19-15 Seagirt Blvd
Queens,043,23,PS 64-Joseph P. Addabbo,82-01 101 Avenue
Queens,044,23,PS 207-Rockwood Park,159-15 88 Street
Queens,045,23,PS 207-Rockwood Park,159-15 88 Street
Queens,046,23,PS 207-Rockwood Park,159-15 88 Street
Queens,047,23,PS 207-Rockwood Park,159-15 88 Street
Queens,048,23,PS 207-Rockwood Park,159-15 88 Street
Queens,049,23,PS 146-Howard Beach,98-01 159 Avenue
Queens,050,23,PS 146-Howard Beach,98-01 159 Avenue
Queens,051,23,PS 146-Howard Beach,98-01 159 Avenue
Queens,052,23,PS 146-Howard Beach,98-01 159 Avenue
