STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
36,001,Albany,New York,304204,+42.678976,-073.813040
36,003,Allegany,New York,48946,+42.228245,-078.019297
36,005,Bronx,New York,1385108,+40.849354,-073.882363
36,007,Broome,New York,200600,+42.121306,-075.934245
36,009,Cattaraugus,New York,80317,+42.224267,-078.607656
36,011,Cayuga,New York,80026,+42.935370,-076.560044
36,013,Chautauqua,New York,134905,+42.246256,-079.314671
36,015,Chemung,New York,88830,+42.118262,-076.813046
36,017,Chenango,New York,50477,+42.481195,-075.570326
36,019,Clinton,New York,82128,+44.730039,-073.545325
36,021,Columbia,New York,63096,+42.273336,-073.681049
36,023,Cortland,New York,49336,+42.596130,-076.145474
36,025,Delaware,New York,47980,+42.244535,-074.993985
36,027,Dutchess,New York,297488,+41.681015,-073.839417
36,029,Erie,New York,919040,+42.889478,-078.792596
36,031,Essex,New York,39370,+44.174474,-073.689906
36,033,Franklin,New York,51599,+44.712835,-074.344365
36,035,Fulton,New York,55531,+43.059172,-074.330346
36,037,Genesee,New York,60079,+42.999625,-078.173095
36,039,Greene,New York,49221,+42.299303,-073.975873
36,041,Hamilton,New York,4836,+43.612034,-074.385121
36,043,Herkimer,New York,64519,+43.070536,-074.995034
36,045,Jefferson,New York,116229,+44.019125,-075.896640
36,047,Kings,New York,2504700,+40.650523,-073.954811
36,049,Lewis,New York,27087,+43.789217,-075.449321
36,051,Livingston,New York,65393,+42.766358,-077.764200
36,053,Madison,New York,73442,+42.984471,-075.717386
36,055,Monroe,New York,744344,+43.161503,-077.619988
36,057,Montgomery,New York,50219,+42.933549,-074.343088
36,059,Nassau,New York,1339532,+40.716587,-073.602242
36,061,New York,New York,1585873,+40.777958,-073.966303
36,063,Niagara,New York,216469,+43.134704,-078.852109
36,065,Oneida,New York,234878,+43.147454,-075.359106
36,067,Onondaga,New York,467026,+43.067188,-076.167442
36,069,Ontario,New York,107931,+42.899374,-077.260129
36,071,Orange,New York,372813,+41.422034,-074.243059
36,073,Orleans,New York,42883,+43.248317,-078.223294
36,075,Oswego,New York,122109,+43.391821,-076.313145
36,077,Otsego,New York,62259,+42.563531,-075.060062
36,079,Putnam,New York,99710,+41.411282,-073.717247
36,081,Queens,New York,2230722,+40.721294,-073.833451
36,083,Rensselaer,New York,159429,+42.699991,-073.629889
36,085,Richmond,New York,468730,+40.588523,-074.137304
36,087,Rockland,New York,311687,+41.127623,-074.019039
36,089,St. Lawrence,New York,111944,+44.651458,-075.149708
36,091,Saratoga,New York,219607,+43.008801,-073.785787
36,093,Schenectady,New York,154727,+42.809284,-073.946182
36,095,Schoharie,New York,32749,+42.642508,-074.436027
36,097,Schuyler,New York,18343,+42.387815,-076.869122
36,099,Seneca,New York,35251,+42.827354,-076.828521
36,101,Steuben,New York,98990,+42.266288,-077.320329
36,103,Suffolk,New York,1493350,+40.821924,-073.113775
36,105,Sullivan,New York,77547,+41.700086,-074.707459
36,107,Tioga,New York,51125,+42.120980,-076.297151
36,109,Tompkins,New York,101564,+42.460259,-076.477416
36,111,Ulster,New York,182493,+41.841064,-074.100745
36,113,Warren,New York,65707,+43.396992,-073.714626
36,115,Washington,New York,63216,+43.290255,-073.458693
36,117,Wayne,New York,93772,+43.143734,-077.126682
36,119,Westchester,New York,949113,+41.040536,-073.804532
36,121,Wyoming,New York,42155,+42.725754,-078.218884
36,123,Yates,New York,25348,+42.633657,-077.078037
