                                    Fraction of the Moon Illuminated, 2017           Astron. Applications Dept.
                                                    at Noon                          U. S. Naval Observatory   
                                             Eastern Standard Time                   Washington, DC 20392-5420 
                                                                                                               
                                                                                                               
 Day    Jan.     Feb.     Mar.     Apr.     May      June     July     Aug.     Sep.     Oct.     Nov.     Dec.
                                                                                                               
 01     0.11     0.24     0.12     0.27     0.35     0.52     0.57     0.69     0.80     0.82     0.92     0.94
 02     0.19     0.34     0.20     0.38     0.46     0.62     0.66     0.78     0.87     0.89     0.97     0.98
 03     0.28     0.45     0.30     0.49     0.57     0.72     0.75     0.85     0.93     0.95     0.99     1.00
 04     0.38     0.56     0.41     0.60     0.67     0.80     0.83     0.91     0.97     0.99     0.99     0.98
 05     0.49     0.67     0.53     0.71     0.76     0.87     0.89     0.96     1.00     1.00     0.97     0.94
 06     0.60     0.78     0.64     0.80     0.84     0.93     0.94     0.99     1.00     0.99     0.91     0.87
 07     0.71     0.86     0.74     0.88     0.91     0.97     0.98     1.00     0.98     0.95     0.83     0.78
 08     0.81     0.93     0.83     0.94     0.95     0.99     1.00     0.99     0.93     0.89     0.74     0.67
 09     0.89     0.98     0.91     0.98     0.99     1.00     1.00     0.96     0.86     0.80     0.63     0.57
 10     0.95     1.00     0.96     1.00     1.00     0.99     0.98     0.91     0.78     0.70     0.52     0.46
 11     0.99     0.99     0.99     1.00     0.99     0.96     0.94     0.84     0.68     0.59     0.41     0.36
 12     1.00     0.97     1.00     0.98     0.97     0.91     0.88     0.75     0.57     0.48     0.31     0.27
 13     0.98     0.92     0.99     0.94     0.93     0.85     0.81     0.65     0.45     0.37     0.21     0.18
 14     0.94     0.86     0.95     0.89     0.87     0.77     0.72     0.54     0.34     0.27     0.14     0.11
 15     0.87     0.78     0.91     0.83     0.80     0.68     0.62     0.43     0.23     0.17     0.08     0.06
 16     0.80     0.70     0.84     0.75     0.72     0.58     0.51     0.31     0.15     0.10     0.03     0.02
 17     0.71     0.61     0.77     0.66     0.63     0.48     0.40     0.21     0.08     0.05     0.01     0.00
 18     0.62     0.51     0.68     0.57     0.53     0.37     0.29     0.12     0.03     0.01     0.00     0.00
 19     0.52     0.42     0.59     0.47     0.43     0.26     0.19     0.06     0.00     0.00     0.02     0.02
 20     0.43     0.33     0.50     0.37     0.33     0.17     0.11     0.02     0.00     0.01     0.05     0.05
 21     0.34     0.24     0.40     0.28     0.23     0.09     0.04     0.00     0.03     0.04     0.09     0.10
 22     0.25     0.16     0.31     0.19     0.14     0.03     0.01     0.01     0.07     0.08     0.15     0.17
 23     0.17     0.09     0.22     0.11     0.07     0.00     0.00     0.05     0.13     0.14     0.23     0.24
 24     0.11     0.04     0.14     0.05     0.02     0.01     0.02     0.10     0.20     0.21     0.31     0.33
 25     0.05     0.01     0.07     0.01     0.00     0.04     0.07     0.17     0.28     0.30     0.40     0.43
 26     0.02     0.00     0.03     0.00     0.01     0.10     0.14     0.26     0.37     0.39     0.50     0.53
 27     0.00     0.01     0.00     0.02     0.06     0.17     0.22     0.35     0.46     0.48     0.60     0.64
 28     0.01     0.05     0.01     0.07     0.12     0.27     0.31     0.44     0.56     0.58     0.70     0.74
 29     0.03              0.04     0.15     0.21     0.37     0.41     0.54     0.65     0.67     0.79     0.84
 30     0.08              0.09     0.24     0.31     0.47     0.51     0.63     0.74     0.76     0.88     0.91
 31     0.15              0.17              0.41              0.60     0.72              0.85              0.97
