state_name,state_name_slug,state_code,state_code_slug,city_name,city_name_slug,district,at_large,vacant,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,date_of_birth,entered_office,term_end,email,phone,latitude,longitude,address_complete,address_number,address_prefix,address_street,address_sec_unit_type,address_sec_unit_num,address_city,address_state,address_zipcode,address_type,population,background_url,city_government_url,city_council_url,city_council_calendar_url,city_council_legislation_url,city_council_committees_url,twitter_handle,twitter_url,facebook_url,photo_url
"New York","new-york","NY","ny","New York","new-york","1","false","false","councilor","democrat","Margaret Chin","margaret-chin","Margaret","Margaret","Chin",,,,"female","asian-american","1954-05-26","2014-01-01","2017-12-31","chin@council.nyc.gov","212-587-3159","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","CM_MargaretChin","https://twitter.com/CM_MargaretChin","https://www.facebook.com/councilmembermargaret.chin","https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/margaret-chin.jpg"
"New York","new-york","NY","ny","New York","new-york","2","false","false","councilor","democrat","Rosie Mendez","rosie-mendez","Rosie","Rosie","Mendez",,,,"female","hispanic-american","1963-02-28","2006-01-01","2017-12-31","rmendez@council.nyc.gov","212-677-1077","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","RosieMendez","https://twitter.com/RosieMendez","https://www.facebook.com/rosie.mendez","https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/rosie-mendez.jpg"
"New York","new-york","NY","ny","New York","new-york","3","false","false","councilor","democrat","Corey Johnson","corey-johnson","Corey","Corey","Johnson",,,,"male","white-american","1982-04-28","2014-01-01","2017-12-31","district3@council.nyc.gov","212-564-7757","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","CoreyinNYC","https://twitter.com/CoreyinNYC","https://www.facebook.com/corey.d.johnson","https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/corey-johnson.jpg"
"New York","new-york","NY","ny","New York","new-york","4","false","false","councilor","democrat","Daniel Garodnick","daniel-garodnick","Daniel","Daniel","Garodnick",,,,"male","white-american","1972-05-04","2014-01-01","2017-12-31","garodnick@council.nyc.gov","212-818-0580","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","DanGarodnick","https://twitter.com/DanGarodnick","https://www.facebook.com/DanGarodnick","https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/daniel-garodnick.jpg"
"New York","new-york","NY","ny","New York","new-york","5","false","false","councilor","democrat","Ben Kallos","ben-kallos","Ben","Ben","Kallos",,,,"male","white-american","1981-02-05","2014-01-01","2017-12-31","bkallos@council.nyc.gov","212-860-1950","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","kallos","https://twitter.com/kallos","https://www.facebook.com/benkallos","https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/ben-kallos.jpg"
"New York","new-york","NY","ny","New York","new-york","6","false","false","councilor","democrat","Helen Rosenthal","helen-rosenthal","Helen","Helen","Rosenthal",,,,"female","white-american","1960-10-24","2014-01-01","2017-12-31","helen@helenrosenthal.com","212-873-0282","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","HelenRosenthal","https://twitter.com/HelenRosenthal","https://www.facebook.com/CouncilMemberHelenRosenthal","https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/helen-rosenthal.jpg"
"New York","new-york","NY","ny","New York","new-york","7","false","false","councilor","democrat","Mark Levine","mark-levine","Mark","Mark","Levine",,,,"male","white-american","1969-04-30","2014-01-01","2017-12-31","district7@council.nyc.gov","212-928-6814","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","MarkLevineNYC","https://twitter.com/MarkLevineNYC","https://www.facebook.com/markdlevine","https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/mark-levine.jpg"
"New York","new-york","NY","ny","New York","new-york","8","false","false","councilor","democrat","Melissa  Mark-Viverito","melissa-mark-viverito","Melissa ","Melissa ","Mark-Viverito",,,,"female","white-american","1969-04-01","2014-01-01","2017-12-31","mviverito@council.nyc.gov","212-828-9800","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","MMViverito","https://twitter.com/MMViverito","https://www.facebook.com/mmviverito","https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/melissa-mark-viverito.jpg"
"New York","new-york","NY","ny","New York","new-york","9","false","false","councilor","democrat","Bill Perkins","bill-perkins","Bill","Bill","Perkins",,,,"male","african-american",,"2017-03-01","2017-12-31","d09perkins@council.nyc.gov","212-678-4505","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","BillPerkinsNYC","https://twitter.com/BillPerkinsNYC",,"https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/bill-perkins.jpg"
"New York","new-york","NY","ny","New York","new-york","10","false","false","councilor","democrat","Ydanis Rodriguez","ydanis-rodriguez","Ydanis","Ydanis","Rodriguez",,,,"male","hispanic-american","1965-06-18","2009-11-24","2017-12-31","yrodriguez@council.nyc.gov","917-521-2616","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","ydanis","https://twitter.com/ydanis","https://www.facebook.com/ydanis.rodriguez.1","https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/ydanis-rodriguez.jpg"
"New York","new-york","NY","ny","New York","new-york","11","false","false","councilor","democrat","Andrew Cohen","andrew-cohen","Andrew","Andrew","Cohen",,,,"male","white-american","1969-08-09","2014-01-01","2017-12-31","district11@council.nyc.gov","718-549-7300","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","AndrewCohenNYC","https://twitter.com/AndrewCohenNYC","https://www.facebook.com/Council-Member-Andrew-Cohen-402337503202703","https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/andrew-cohen.jpg"
"New York","new-york","NY","ny","New York","new-york","12","false","false","councilor","democrat","Andy King","andy-king","Andy","Andy","King",,,,"male","african-american",,"2012-11-07","2017-12-31","andy.king@council.nyc.gov","718-684-5509","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","AndyKingNYC","https://twitter.com/AndyKingNYC","https://www.facebook.com/New-York-City-Council-Member-Andy-L-King-116867358490208","https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/andy-king.jpg"
"New York","new-york","NY","ny","New York","new-york","13","false","false","councilor","democrat","James Vacca","james-vacca","James","James","Vacca",,,,"male","white-american","1955-08-23","2014-01-01","2017-12-31","jvacca@council.nyc.gov","718-931-1721","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","jamesvacca13","https://twitter.com/jamesvacca13","https://www.facebook.com/CouncilMemberJamesVacca","https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/james-vacca.jpg"
"New York","new-york","NY","ny","New York","new-york","14","false","false","councilor","democrat","Fernando Cabrera","fernando-cabrera","Fernando","Fernando","Cabrera",,,,"male","hispanic-american","1964-04-18","2010-01-01","2017-12-31","fcabrera@council.nyc.gov","347-590-2874","40.6643","-73.9385","250 Broadway Suite 1823 New York, NY 10007","250",,"Broadway","Suite","1823","New York","NY","10007",,"8550405","https://cdn.civil.services/city-council/ny/new-york/backgrounds/1280x720/city.jpg","http://www.nycgo.com","http://council.nyc.gov/districts/",,"http://legistar.council.nyc.gov/Legislation.aspx","http://legistar.council.nyc.gov/Departments.aspx","FCabreraNY","https://twitter.com/FCabreraNY","https://www.facebook.com/councilmembercabrera","https://cdn.civil.services/city-council/ny/new-york/headshots/512x512/fernando-cabrera.jpg"
