district,at_large,first_name,last_name,gender,ethnicity,date_of_birth,entered_office,term_end,title,party,email,phone,address,twitter_url,facebook_url,photo_url
1,no,Margaret,Chin,female,asian-american,1954-05-26,2014-01-01,2017-12-31,councilor,democrat,chin@council.nyc.gov,212-587-3159,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/CM_MargaretChin,https://www.facebook.com/councilmembermargaret.chin,http://council.nyc.gov/d1/images/features/MC_headshot1.jpg
2,no,Rosie,Mendez,female,hispanic-american,1963-02-28,2006-01-01,2017-12-31,councilor,democrat,Rmendez@council.nyc.gov,212-677-1077,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/RosieMendez,https://www.facebook.com/rosie.mendez,http://council.nyc.gov/d2/image/Photos/d2mendez.jpg
3,no,Corey,Johnson,male,white-american,1982-04-28,2014-01-01,2017-12-31,councilor,democrat,district3@council.nyc.gov,212-564-7757,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/CoreyinNYC,https://www.facebook.com/corey.d.johnson,http://council.nyc.gov/d3/images/features/District03_Johnson.jpg
4,no,Daniel,Garodnick,male,white-american,1972-05-04,2014-01-01,2017-12-31,councilor,democrat,garodnick@council.nyc.gov,212-818-0580,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/DanGarodnick,https://www.facebook.com/DanGarodnick,http://council.nyc.gov/d4/images/features/d4garodnick.jpg
5,no,Ben,Kallos,male,white-american,1981-02-05,2014-01-01,2017-12-31,councilor,democrat,BKallos@council.nyc.gov,212-860-1950,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/kallos,https://www.facebook.com/benkallos,http://council.nyc.gov/d5/images/features/District05_Kallos.jpg
6,no,Helen,Rosenthal,female,white-american,1960-10-24,2014-01-01,2017-12-31,councilor,democrat,Helen@HelenRosenthal.com,212-873-0282,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/HelenRosenthal,https://www.facebook.com/CouncilMemberHelenRosenthal,"http://council.nyc.gov/d6/images/Rosenthal%20headshot%20-%20brighter,%20cropped%20-%20for%20CC%20site.jpg"
7,no,Mark,Levine,male,white-american,1969-04-30,2014-01-01,2017-12-31,councilor,democrat,District7@council.nyc.gov,212-928-6814,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/MarkLevineNYC,https://www.facebook.com/markdlevine,http://council.nyc.gov/d7/images/features/marklevine.jpg
8,no,Melissa ,Mark-Viverito,female,white-american,1969-04-01,2014-01-01,2017-12-31,councilor,democrat,mviverito@council.nyc.gov,212-828-9800,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/MMViverito,https://www.facebook.com/mmviverito,http://council.nyc.gov/d8/images/features/mmv.png
9,no,Bill,Perkins,male,african-american,,2017-03-01,2017-12-31,councilor,democrat,D09perkins@council.nyc.gov,212-678-4505,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/BillPerkinsNYC,,http://council.nyc.gov/bill-perkins/wp-content/uploads/sites/59/2017/03/bill-perkins-headshot.jpg
10,no,Ydanis,Rodriguez,male,hispanic-american,1965-06-18,2009-11-24,2017-12-31,councilor,democrat,yrodriguez@council.nyc.gov,917-521-2616,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/ydanis,https://www.facebook.com/ydanis.rodriguez.1,http://council.nyc.gov/d10/images/features/YRHS.jpg
11,no,Andrew,Cohen,male,white-american,1969-08-09,2014-01-01,2017-12-31,councilor,democrat,District11@council.nyc.gov,718-549-7300,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/AndrewCohenNYC,https://www.facebook.com/Council-Member-Andrew-Cohen-402337503202703,http://council.nyc.gov/d11/images/features/District11_Cohen.jpg
12,no,Andy,King,male,african-american,,2012-11-07,2017-12-31,councilor,democrat,Andy.King@council.nyc.gov,718-684-5509,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/AndyKingNYC,https://www.facebook.com/New-York-City-Council-Member-Andy-L-King-116867358490208,http://council.nyc.gov/d12/images/features/CMKING%20HS%20220-311.jpg
13,no,James,Vacca,male,white-american,1955-08-23,2014-01-01,2017-12-31,councilor,democrat,jvacca@council.nyc.gov,718-931-1721,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/jamesvacca13,https://www.facebook.com/CouncilMemberJamesVacca,http://council.nyc.gov/d13/images/features/d13vacca.jpg
14,no,Fernando,Cabrera,male,hispanic-american,1964-04-18,2010-01-01,2017-12-31,councilor,democrat,fcabrera@council.nyc.gov,347-590-2874,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/FCabreraNY,https://www.facebook.com/councilmembercabrera,http://council.nyc.gov/d14/images/features/d14cabrera.jpg
15,no,Ritchie,Torres,male,african-american,1988-03-12,2014-01-01,2017-12-31,deputy-leader,democrat,rtorres@council.nyc.gov,718-842-8100,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/ritchietorres,https://www.facebook.com/RitchieTorresNYC,http://council.nyc.gov/d15/images/features/District15_Torres2.jpg
16,no,Vanessa,Gibson,female,african-american,1979-03-19,2009-06-02,2017-12-31,councilor,democrat,District16Bronx@council.nyc.gov,718-588-7500,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/Vanessalgibson,https://www.facebook.com/VanessaGibsonNYC,http://council.nyc.gov/d16/images/features/district16_gibson.jpg
17,no,Rafael,Salamanca,male,hispanic-american,1980-07-02,2016-03-08,2017-12-31,councilor,democrat,salamanca@council.nyc.gov,718-402-6130,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/salamancajr80,https://www.facebook.com/rafael.salamanca.501,http://council.nyc.gov/d17/images/features/rafael-salamanca.jpg
18,no,Annabel,Palma,female,african-american,,2004-01-01,2017-12-31,councilor,democrat,apalma@council.nyc.gov,718-792-1140,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/palmaannabel,https://www.facebook.com/annabel.palma,http://council.nyc.gov/d18/images/features/d18palma.jpg
19,no,Paul,Vallone,male,white-american,1967-06-02,2014-01-01,2017-12-31,councilor,democrat,district19@council.nyc.gov,718-619-8611,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/PaulVallone,https://www.facebook.com/CouncilMemberPaulVallone,http://council.nyc.gov/d19/images/features/District19_Vallone.jpg
20,no,Peter,Koo,male,asian-american,1952-01-12,2010-01-01,2017-12-31,councilor,democrat,pkoo@council.nyc.gov,718-888-8747,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/cmpeterkoo,https://www.facebook.com/Peter-Koo-207749175523,http://council.nyc.gov/d20/images/features/d20koo.jpg
21,no,Julissa ,Ferreras-Copeland,female,african-american,1976-11-02,2009-02-24,2017-12-31,councilor,democrat,CD21invites@council.nyc.gov,718-651-1917,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/JulissaFerreras,https://www.facebook.com/Julissa.Ferreras,http://council.nyc.gov/d21/images/headshot.jpg
22,no,Costa,Constantinides,male,hispanic-american,1975-01-07,2014-01-01,2017-12-31,councilor,democrat,costa@council.nyc.gov,718-274-4500,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/Costa4NY,https://www.facebook.com/costaforastoria,http://council.nyc.gov/d22/images/features/d22.jpg
23,no,Barry,Grodenchik,male,white-american,1960-02-12,2015-11-24,2017-12-31,councilor,democrat,m23@council.nyc.gov,718-468-0137,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/barrygrodenchik,https://www.facebook.com/bgrodenchik,http://council.nyc.gov/d23/images/grodenchik.jpg
24,no,Rory,Lancman,male,white-american,1969-03-01,2014-01-01,2017-12-31,councilor,democrat,RLancman@council.nyc.gov,718-217-4969,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/RoryLancman,https://www.facebook.com/RoryLancman,http://council.nyc.gov/d24/images/features/District24_Lancman.jpg
25,no,Daniel,Dromm,male,white-american,,2010-01-01,2017-12-31,councilor,democrat,ddromm@council.nyc.gov,718-803-6373,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/dromm25,https://www.facebook.com/Daniel-Dromm-18241697139,http://council.nyc.gov/d25/images/features/d25dromm.jpg
26,no,Jimmy,Van Bramer,male,white-american,1969-08-19,2010-01-01,2017-12-31,majority-leader,democrat,JVanBramer@council.nyc.gov,718-383-9566,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/JimmyVanBramer,https://www.facebook.com/Jimmy-Van-Bramer-125696285699,http://council.nyc.gov/d26/images/features/d26vanbramer.jpg
27,no,Daneek,Miller,male,african-american,1960-11-06,2014-01-01,2017-12-31,councilor,democrat,District27@council.nyc.gov,718-776-3700,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/IDaneekMiller,https://www.facebook.com/daneek.miller,http://council.nyc.gov/d27/images/features/District27_Miller.jpg
28,no,Ruben,Wills,male,african-american,,2011-01-01,2017-12-31,councilor,democrat,RW@council.nyv.gov,718-206-2068,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/CM_RubenWills,https://www.facebook.com/CouncilMemberRubenWills,http://council.nyc.gov/d28/images/features/WebSiteCM%20Wills%201.2.JPG
29,no,Karen,Koslowitz,female,white-american,,2010-01-01,2017-12-31,councilor,democrat,Koslowitz@council.nyc.gov,718-544-8800,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/cmkoslowitz,https://www.facebook.com/Karen-Koslowitz-119475124337,http://www.council.nyc.gov/d29/images/features/d29koslowitz.jpg
30,no,Elizabeth,Crowley,female,white-american,1977-11-27,2009-01-01,2017-12-31,councilor,democrat,ecrowley@council.nyc.gov,718-366-3900,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/elizcrowleynyc,https://www.facebook.com/elizcrowleynyc,http://council.nyc.gov/d30/image/crowley_headshot_new.jpg
31,no,Donovan,Richards,male,african-american,,2013-02-20,2017-12-31,councilor,democrat,drichards@council.nyc.gov,718-471-7014,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/DRichards13,https://www.facebook.com/drichardsnyccouncil,http://council.nyc.gov/d31/images/cmrichardsheadshot.jpg
32,no,Eric,Ulrich,male,white-american,1985-02-13,2009-02-24,2017-12-31,councilor,republican,eulrich@council.nyc.gov,718-738-1083,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/eric_ulrich,https://www.facebook.com/ericulrich32,http://council.nyc.gov/d32/images/ulrichheadshot.jpg
33,no,Stephen,Levin,male,white-american,1981-12-03,2010-01-01,2017-12-31,councilor,democrat,slevin@council.nyc.gov,718-875-5200,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/StephenLevin33,https://www.facebook.com/stephen.levin1,http://council.nyc.gov/d33/images/features/d33levin.jpg
34,no,Antonio,Reynoso,male,african-american,1983-05-09,2014-01-01,2017-12-31,councilor,democrat,areynoso@council.nyc.gov,718-963-3141,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/CMReynoso34,https://www.facebook.com/Antonio4Council,http://council.nyc.gov/d34/images/features/District34Reynoso.jpg
35,no,Laurie,Cumbo,female,african-american,1975-02-21,2014-01-01,2017-12-31,councilor,democrat,LCumbo@council.nyc.gov,718-260-9191,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/cmlauriecumbo,https://www.facebook.com/CMLaurieCumbo,http://council.nyc.gov/d35/images/features/District35_Cumbo1.jpg
36,no,Robert,Cornegy,male,african-american,,2014-01-01,2017-12-31,councilor,democrat,RCornegy@council.nyc.gov,718-919-0740,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/RobertCornegyJr,https://www.facebook.com/CouncilMemberRobertCornegy,http://council.nyc.gov/d36/images/features/District36_Cornegy.jpg
37,no,Rafael,Espinal,male,white-american,,2014-01-01,2017-12-31,councilor,democrat,REspinal@council.nyc.gov,718-642-8664,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/rlespinal,https://www.facebook.com/RafaelLEspinaljr,http://council.nyc.gov/d37/images/features/EspinalHeadshot.jpg
38,no,Carlos,Menchaca,male,hispanic-american,1980-09-11,2014-01-01,2017-12-31,councilor,democrat,info38@council.nyc.gov,718-439-9012,"250 Broadway Suite 1823 New York, NY 10007",https://twitter.com/cmenchaca,https://www.facebook.com/Menchaca.Carlos.Jr,http://council.nyc.gov/d38/images/features/District38_Menchaca.jpg
