SITE_NAME,SITE_NUMBER,VOTER_ENTRANCE,HANDICAP_ENTRANCE,STREET_NUMBER,STREET_NAME,STREET_SUFFIX,SITE_STATUS,CITY,ZIP_CODE,"LATITUDE, LONGITUDE",Community Board,BOROUGH,Council District,Census Tract,BIN,BBL,NTA
Coler Hospital,00001,1 Bird S Coler Hospital,Parking Lot,900,Main Street,,A,New York,10044,"(40.769553, -73.943471)",,1,,,,,
PS 751,00007,113 East 4 Street,113 East 4 Street,113,East 4 Street,,A,New York,10003,"(40.725725, -73.988146)",3,1,2,38,1006208,1004460020,East Village                                                               
Bard H.S.E.C.- 97,00009,525 East Houston Street,Mangin Street,525,East Houston Street,,A,New York,10002,"(40.718166, -73.976124)",3,1,2,1002,1004062,1003250025,Lower East Side                                                            
Frank McCourt HS,00012,W. 85 St (Bet Columbus & Amsterdam Ave),W. 85 St (Bet Columbus & Amsterdam Ave),151,West 84 Street,,A,New York,10024,"(40.78584, -73.974542)",7,1,6,169,1032128,1012150001,Upper West Side                                                            
Westbeth  Housing,00013,155 Bank Street,155 Bank Street,155,Bank Street,,A,New York,10014,"(40.736205, -74.008769)",2,1,3,79,1012047,1006390001,West Village                                                               
JASA Community Ctr,00016,200 East 5 Street,200 East 5 Street,200,East 5 Street,,A,New York,10003,"(40.727659, -73.991179)",3,1,2,38,1006580,1004600001,East Village                                                               
HS Fashion Industry,00019,225 West 24 Street,225 West 24 Street,225,West 24 Street,,A,New York,10011,"(40.745133, -73.995859)",4,1,3,91,1014174,1007740019,Hudson Yards-Chelsea-Flatiron-Union Square                                 
PS 206,00025,508 East 120 Street,508 East 120 Street,508,East 120 Street,,A,New York,10035,"(40.797496, -73.931119)",11,1,8,192,1084005,1018160001,East Harlem North                                                          
PS 52,00028,650 Academy Street,Broadway,650,Academy Street,,A,New York,10034,"(40.865993, -73.924883)",12,1,10,291,1076776,1022330020,Marble Hill-Inwood                                                         
Bayard Rustin H S,10099,351 West 18 Street,351 West 18 Street,351,West 18 Street,,A,New York,10011,"(40.743257, -74.002872)",4,1,3,89,1013096,1007420007,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Lesbian And Gay Center,10119,208 West 13 Street,208 West 13 Street,208,West 13 Street,,A,New York,10011,"(40.737909, -74.000491)",2,1,3,77,1067571,1006170047,West Village                                                               
Prospect Tower,10131,45 Tudor City Place,45 Tudor City Place,45,Tudor City Place,,A,New York,10017,"(40.749073, -73.970341)",6,1,4,88,1038660,1013350022,Turtle Bay-East Midtown                                                    
Sirovich Senior Center,10139,331 East 12 Street,331 East 12 Street,331,East 12 Street,,A,New York,10003,"(40.730758, -73.985103)",3,1,2,40,1006502,1004540052,East Village                                                               
Compos Community Ctr,10142,611 East 13 Street,611 East 13 Street,611,East 13 Street,,A,New York,10009,"(40.728725, -73.978294)",3,1,2,28,1077502,1003960010,Lower East Side                                                            
UTACPT,10147,125 West 109 Street,125 West 109 Street,125,West 109 Street,,A,New York,10025,"(40.801544, -73.962159)",7,1,7,193,1079468,1018640009,Morningside Heights                                                        
Pelham Fritz Recreation Center,10148,18 Mt Morris Park West,18 Mt Morris Park West,18,Mt Morris Park West,,A,New York,10027,"(40.805102, -73.945132)",11,1,9,198,1083967,1017190001,East Harlem North                                                          
HS of Art & Design,10176,249 E 56 St (Glass Doors Closer to 2nd Ave),249 E 56 St (Glass Doors Closer to 2nd Ave),249,East 56 Street,,A,New York,10022,"(40.759091, -73.965549)",6,1,4,108,1038593,1013300015,Turtle Bay-East Midtown                                                    
Windsor Tower,10205,5 Tudor City Place,East 40th Street,5,Tudor City Place,,A,New York,10017,"(40.748068, -73.971083)",6,1,4,88,1038647,1013330023,Turtle Bay-East Midtown                                                    
PS 234 (Independence),10222,292 Greenwich Street,292 Greenwich Street,292,Greenwich Street,,A,New York,10007,"(40.71622, -74.011057)",1,1,1,21,1001533,1001420001,SoHo-TriBeCa-Civic Center-Little Italy                                     
John F Kennedy HS,10237,99 TERRACE VIEW AVENUE,99 TERRACE VIEW AVENUE,99,Terrace View Avenue,,A,New York,10463,"(40.877072, -73.912381)",8,1,10,309,1064532,1022150080,Marble Hill-Inwood                                                         
Peter Cooper Village,10241,360 1 Avenue,360 1 Avenue,360,1 Avenue,,A,New York,10010,"(40.735773, -73.979001)",6,1,4,60,1083681,1009780001,Stuyvesant Town-Cooper Village                                             
YM & YWHA (Nagle Ave),10251,54 Nagle Avenue,54 Nagle Avenue,54,Nagle Avenue,,A,New York,10040,"(40.860011, -73.929243)",12,1,10,285,1064146,1021720064,Washington Heights North                                                   
Hunter College,10261,128 East 68 Street,East 68th Street,128,East 68 Street,,A,New York,10065,"(40.7681, -73.964849)",8,1,4,120,1042468,1014020013,Upper East Side-Carnegie Hill                                              
Evelyn & Lou Grn Res,10199,19-15 Seagirt Blvd,19-15 Seagirt Blvd,19-15,Seagirt Blvd,,A,Far Rockaway,11691,"(40.594983, -73.753375)",,4,,,,,
IS 218,10271,4600 Broadway,4600 Broadway,4600,Broadway,,A,New York,10040,"(40.860697, -73.930633)",12,1,10,285,1076756,1021720016,Washington Heights North                                                   
Inwood Towers,10275,11 Fort George Hill,11 Fort George Hill,11,Fort George Hill,,A,New York,10040,"(40.85734, -73.92818)",12,1,10,283,1064066,1021700129,Washington Heights North                                                   
Local 802,10279,322 West 48 Street,322 West 48 Street,322,West 48 Street,,A,New York,10036,"(40.76141, -73.988099)",4,1,3,127,1025108,1010380043,Clinton                                                                    
